"BehaviorSpace results (NetLogo 6.3.0)"
"Fire.nlogo"
"expWithAll4scenarios"
"05/06/2023 15:09:43:935 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-200","200","-135","135"
"[run number]","density","wind-direction","fighting-strategy","wind-velocity","[step]","burned-trees / initial-trees * 100","burned-trees","initial-trees"
"5","48","N","Wind","0","41","0.10566762728146013","55","52050"
"9","56","N","Wind","0","36","0.08893427098601756","54","60719"
"2","42","N","Wind","0","41","0.12619943863008334","58","45959"
"4","46","N","Wind","0","56","0.10883585940019348","54","49616"
"1","40","N","Wind","0","36","0.08055606702264775","35","43448"
"10","58","N","Wind","0","43","0.11775564113172719","74","62842"
"8","54","N","Wind","0","86","0.3150115788039776","185","58728"
"3","44","N","Wind","0","71","0.22564402565656144","108","47863"
"6","50","N","Wind","0","61","0.2258745753374346","123","54455"
"7","52","N","Wind","0","71","0.20390432454476143","115","56399"
"12","62","N","Wind","0","131","0.6055002087931755","406","67052"
"18","42","N","Wind","5","41","0.09577501578111056","44","45941"
"20","46","N","Wind","5","51","0.1062592726252055","53","49878"
"14","66","N","Wind","0","66","0.17717633928571427","127","71680"
"19","44","N","Wind","5","51","0.12954450480568325","62","47860"
"17","40","N","Wind","5","41","0.14052061736926977","61","43410"
"21","48","N","Wind","5","41","0.12230779521088539","64","52327"
"13","64","N","Wind","0","111","0.48980653364349597","339","69211"
"11","60","N","Wind","0","136","0.5626008761816924","366","65055"
"22","50","N","Wind","5","61","0.16900270036923415","92","54437"
"25","56","N","Wind","5","41","0.08413758970551843","51","60615"
"15","68","N","Wind","0","141","0.7649785778967143","566","73989"
"23","52","N","Wind","5","81","0.24137441431208292","136","56344"
"24","54","N","Wind","5","57","0.17401095245406623","102","58617"
"29","64","N","Wind","5","78","0.1917172386951696","133","69373"
"33","40","N","Wind","10","26","0.03454072351302185","15","43427"
"35","44","N","Wind","10","36","0.09877892436056408","47","47581"
"27","60","N","Wind","5","61","0.16804668642488313","110","65458"
"28","62","N","Wind","5","71","0.19187577159346136","129","67231"
"34","42","N","Wind","10","43","0.10944271768156547","50","45686"
"16","70","N","Wind","0","196","1.0150812064965198","770","75856"
"26","58","N","Wind","5","96","0.29528496586759806","186","62990"
"36","46","N","Wind","10","31","0.061975209916033586","31","50020"
"37","48","N","Wind","10","61","0.13235378742830836","69","52133"
"39","52","N","Wind","10","46","0.12062940164268862","68","56371"
"30","66","N","Wind","5","134","0.5558193447476468","398","71606"
"42","58","N","Wind","10","66","0.23142236976506642","145","62656"
"43","60","N","Wind","10","61","0.1516590581819296","99","65278"
"40","54","N","Wind","10","76","0.24084037919549064","141","58545"
"31","68","N","Wind","5","169","0.8805678985585781","650","73816"
"41","56","N","Wind","10","50","0.1335884157403437","81","60634"
"38","50","N","Wind","10","66","0.1761888156808046","96","54487"
"32","70","N","Wind","5","183","0.8430481459527103","640","75915"
"50","42","N","Wind","15","81","0.030685604068034368","14","45624"
"51","44","N","Wind","15","81","0.037596340622846044","18","47877"
"44","62","N","Wind","10","85","0.2899283356626721","195","67258"
"52","46","N","Wind","15","101","0.08006725649545618","40","49958"
"49","40","N","Wind","15","81","0.0621260929590428","27","43460"
"54","50","N","Wind","15","81","0.10336298866698661","56","54178"
"46","66","N","Wind","10","111","0.449762508581917","321","71371"
"45","64","N","Wind","10","96","0.3429740751949044","238","69393"
"56","54","N","Wind","15","101","0.18758206715438006","110","58641"
"47","68","N","Wind","10","106","0.37127543236711713","275","74069"
"57","56","N","Wind","15","121","0.2763112448808408","168","60801"
"58","58","N","Wind","15","101","0.10647596344854986","67","62925"
"48","70","N","Wind","10","155","0.6880158468141301","521","75725"
"55","52","N","Wind","15","121","0.23848640627484233","135","56607"
"59","60","N","Wind","15","121","0.38166768853464134","249","65240"
"53","48","N","Wind","15","101","0.11325463096266436","59","52095"
"65","40","N","Wind","20","81","0.046012975659135875","20","43466"
"60","62","N","Wind","15","121","0.22149217344769662","149","67271"
"66","42","N","Wind","20","81","0.026366672525927226","12","45512"
"62","66","N","Wind","15","141","0.5768720405626249","413","71593"
"61","64","N","Wind","15","121","0.2800999119273473","194","69261"
"67","44","N","Wind","20","81","0.08400714060695158","40","47615"
"70","50","N","Wind","20","101","0.1477950821186425","80","54129"
"68","46","N","Wind","20","101","0.12268951507471992","61","49719"
"69","48","N","Wind","20","81","0.10369061791927493","54","52078"
"72","54","N","Wind","20","121","0.20080663002229296","118","58763"
"71","52","N","Wind","20","81","0.10253146655352849","58","56568"
"74","58","N","Wind","20","121","0.26023373140047257","163","62636"
"75","60","N","Wind","20","161","0.5874302234387735","382","65029"
"73","56","N","Wind","20","121","0.3894710784718211","236","60595"
"81","40","N","Wind","25","101","0.09201324990798676","40","43472"
"76","62","N","Wind","20","121","0.3254182888050165","219","67298"
"83","44","N","Wind","25","101","0.1530237920553401","73","47705"
"84","46","N","Wind","25","101","0.11034427413530214","55","49844"
"82","42","N","Wind","25","81","0.05280179526103888","24","45453"
"85","48","N","Wind","25","81","0.12285955616985335","64","52092"
"77","64","N","Wind","20","181","0.49544878442216844","344","69432"
"86","50","N","Wind","25","81","0.12685222634849433","69","54394"
"78","66","N","Wind","20","221","0.7264903530463696","520","71577"
"63","68","N","Wind","15","321","1.7962448315596828","1325","73765"
"88","54","N","Wind","25","101","0.14197984912502778","83","58459"
"64","70","N","Wind","15","321","1.7796120077808737","1354","76084"
"80","70","N","Wind","20","241","1.2961404984751288","986","76072"
"89","56","N","Wind","25","101","0.22392728949188262","136","60734"
"79","68","N","Wind","20","221","0.7280763598893649","537","73756"
"87","52","N","Wind","25","101","0.17525225703664365","99","56490"
"97","40","N","Wind","30","81","0.03655137753004067","16","43774"
"98","42","N","Wind","30","81","0.05231379558384376","24","45877"
"99","44","N","Wind","30","81","0.09202710616581612","44","47812"
