[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
1,70,N,Fire density,0,96,374,76010
9,70,N,Fire density,5,92,351,75982
10,72,N,Fire density,5,204,891,78046
3,74,N,Fire density,0,1651,76290,80015
5,78,N,Fire density,0,1604,81141,84399
4,76,N,Fire density,0,1621,79062,82418
12,76,N,Fire density,5,1636,79218,82655
17,70,N,Fire density,10,136,503,75984
2,72,N,Fire density,0,1661,73868,78122
8,84,N,Fire density,0,1641,88036,91150
19,74,N,Fire density,10,176,839,80237
11,74,N,Fire density,5,1631,76113,80247
7,82,N,Fire density,0,1626,86118,89310
18,72,N,Fire density,10,256,942,77952
14,80,N,Fire density,5,1626,83555,86855
6,80,N,Fire density,0,1618,83639,86874
15,82,N,Fire density,5,1626,85492,88877
27,74,N,Fire density,15,421,2504,80455
13,78,N,Fire density,5,1639,81162,84749
23,82,N,Fire density,10,1646,85591,88948
24,84,N,Fire density,10,1636,87653,90942
20,76,N,Fire density,10,1681,78528,82386
22,80,N,Fire density,10,1636,83388,86806
33,70,N,Fire density,20,201,721,75769
16,84,N,Fire density,5,1626,87755,90930
21,78,N,Fire density,10,1661,80696,84546
35,74,N,Fire density,20,361,1571,80464
25,70,N,Fire density,15,1601,70598,75986
28,76,N,Fire density,15,1681,80000,82631
41,70,N,Fire density,25,221,789,76107
26,72,N,Fire density,15,1641,74454,78088
42,72,N,Fire density,25,161,580,78084
43,74,N,Fire density,25,221,837,80461
29,78,N,Fire density,15,1641,82480,84647
30,80,N,Fire density,15,1621,84825,86938
36,76,N,Fire density,20,1681,79539,82237
34,72,N,Fire density,20,1621,73943,77871
32,84,N,Fire density,15,1621,88953,91000
50,72,N,Fire density,30,181,520,78337
49,70,N,Fire density,30,221,768,76096
31,82,N,Fire density,15,1621,86779,88808
37,78,N,Fire density,20,1621,82096,84573
44,76,N,Fire density,25,1601,78884,82313
39,82,N,Fire density,20,1661,87164,89110
38,80,N,Fire density,20,1641,84696,86829
57,70,N,Fire density,35,161,383,76021
58,72,N,Fire density,35,201,778,78251
40,84,N,Fire density,20,1621,89042,91053
59,74,N,Fire density,35,201,647,79999
45,78,N,Fire density,25,1601,81802,84347
47,82,N,Fire density,25,1621,86639,88934
46,80,N,Fire density,25,1641,84288,86598
48,84,N,Fire density,25,1581,88754,91209
65,70,N,Fire density,40,151,454,76000
51,74,N,Fire density,30,1661,76916,80334
66,72,N,Fire density,40,121,391,78086
68,76,N,Fire density,40,241,1348,82383
55,82,N,Fire density,30,1641,86708,88906
52,76,N,Fire density,30,1821,79493,82603
60,76,N,Fire density,35,1661,79132,82429
54,80,N,Fire density,30,1621,84792,87153
56,84,N,Fire density,30,1661,89274,91160
73,70,N,Fire density,45,151,456,76012
74,72,N,Fire density,45,136,488,77972
63,82,N,Fire density,35,1641,86768,89014
75,74,N,Fire density,45,151,717,80374
61,78,N,Fire density,35,1641,81604,84412
62,80,N,Fire density,35,1661,84478,86816
64,84,N,Fire density,35,1641,89099,91077
81,70,N,Fire density,50,226,993,76066
82,72,N,Fire density,50,226,988,78394
53,78,N,Fire density,30,1661,82155,84544
67,74,N,Fire density,40,1621,75048,80404
84,76,N,Fire density,50,151,539,82255
69,78,N,Fire density,40,1711,81719,84804
70,80,N,Fire density,40,1636,83947,86769
77,78,N,Fire density,45,1666,80778,84546
71,82,N,Fire density,40,1636,86332,88966
72,84,N,Fire density,40,1621,88498,90961
76,76,N,Fire density,45,1681,79001,82726
78,80,N,Fire density,45,1621,82985,86865
80,84,N,Fire density,45,1636,88374,91005
83,74,N,Fire density,50,1786,72790,80413
79,82,N,Fire density,45,1666,85818,88757
85,78,N,Fire density,50,1756,80159,84611
87,82,N,Fire density,50,1726,86000,88917
88,84,N,Fire density,50,1651,88454,91110
86,80,N,Fire density,50,1711,83144,86730
89,70,N,Fire density,55,1741,72519,75925
90,72,N,Fire density,55,1561,75089,77881
91,74,N,Fire density,55,1561,78893,80531
97,70,N,Fire density,60,1801,71814,75954
98,72,N,Fire density,60,1681,75076,78062
92,76,N,Fire density,55,1501,80885,82305
99,74,N,Fire density,60,1621,78262,80118
93,78,N,Fire density,55,1441,83867,84703
105,70,N,Fire density,65,861,17488,76120
95,82,N,Fire density,55,1381,88247,88932
94,80,N,Fire density,55,1381,86032,86806
96,84,N,Fire density,55,1321,90404,90938
107,74,N,Fire density,65,1461,72479,80469
106,72,N,Fire density,65,1601,65423,78105
109,78,N,Fire density,65,1421,80066,84315
108,76,N,Fire density,65,1541,77411,82612
113,70,N,Fire density,70,1261,29970,75959
110,80,N,Fire density,65,1401,83431,86754
100,76,N,Fire density,60,1561,80761,82328
111,82,N,Fire density,65,1341,86854,88933
114,72,N,Fire density,70,1401,47129,77946
121,70,N,Fire density,75,141,495,75787
112,84,N,Fire density,65,1301,88983,91079
101,78,N,Fire density,60,1501,83460,84546
115,74,N,Fire density,70,1701,70353,80302
122,72,N,Fire density,75,881,23869,77961
117,78,N,Fire density,70,1581,78741,84485
102,80,N,Fire density,60,1441,85963,86802
103,82,N,Fire density,60,1381,88209,89031
129,70,N,Fire density,80,101,163,75767
123,74,N,Fire density,75,1141,36041,80454
130,72,N,Fire density,80,201,751,78373
124,76,N,Fire density,75,1501,49160,82403
116,76,N,Fire density,70,1661,75295,82139
118,80,N,Fire density,70,1521,84357,86916
104,84,N,Fire density,60,1381,90569,91206
120,84,N,Fire density,70,1381,88994,91099
137,70,N,Fire density,85,101,272,75915
138,72,N,Fire density,85,141,369,77905
139,74,N,Fire density,85,181,531,80244
132,76,N,Fire density,80,1061,34661,82529
131,74,N,Fire density,80,1221,35962,80420
119,82,N,Fire density,70,1481,86243,88875
125,78,N,Fire density,75,1701,78656,84479
133,78,N,Fire density,80,1221,58268,84908
145,70,N,Fire density,90,201,663,76051
126,80,N,Fire density,75,1721,83472,86814
146,72,N,Fire density,90,121,248,77974
140,76,N,Fire density,85,1021,30210,82228
127,82,N,Fire density,75,1641,85917,89022
141,78,N,Fire density,85,1001,37306,84778
128,84,N,Fire density,75,1601,87972,91004
148,76,N,Fire density,90,841,22803,82345
153,70,N,Fire density,95,121,447,75806
134,80,N,Fire density,80,1801,75836,86749
147,74,N,Fire density,90,1001,25117,80430
150,80,N,Fire density,90,941,33889,86654
136,84,N,Fire density,80,1761,88356,91333
135,82,N,Fire density,80,1901,84456,88801
149,78,N,Fire density,90,941,35613,84786
142,80,N,Fire density,85,1241,50926,87024
161,70,N,Fire density,100,141,437,76298
154,72,N,Fire density,95,681,15902,78316
151,82,N,Fire density,90,1001,42710,88980
155,74,N,Fire density,95,681,17614,80483
162,72,N,Fire density,100,441,7219,78305
156,76,N,Fire density,95,881,21933,82700
163,74,N,Fire density,100,661,15014,80351
158,80,N,Fire density,95,901,29336,86747
157,78,N,Fire density,95,941,36365,84563
164,76,N,Fire density,100,821,22659,82472
159,82,N,Fire density,95,921,36050,88913
152,84,N,Fire density,90,1021,49688,91353
144,84,N,Fire density,85,2321,85849,90941
160,84,N,Fire density,95,941,39446,91044
165,78,N,Fire density,100,821,22239,84846
143,82,N,Fire density,85,1321,58560,88727
167,82,N,Fire density,100,881,31435,88997
166,80,N,Fire density,100,901,28816,86437
168,84,N,Fire density,100,961,35865,90936
