[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
9,70,N,Density & wind,5,151,571,75769
2,72,N,Density & wind,0,183,828,78180
11,74,N,Density & wind,5,211,975,80304
10,72,N,Density & wind,5,134,417,78326
3,74,N,Density & wind,0,261,1223,80241
1,70,N,Density & wind,0,201,779,76078
12,76,N,Density & wind,5,186,755,82520
6,80,N,Density & wind,0,288,1685,86794
5,78,N,Density & wind,0,316,1612,84412
17,70,N,Density & wind,10,161,542,75818
13,78,N,Density & wind,5,246,1388,84406
8,84,N,Density & wind,0,376,2595,91135
18,72,N,Density & wind,10,116,340,78153
7,82,N,Density & wind,0,366,2672,88994
4,76,N,Density & wind,0,295,1638,82500
19,74,N,Density & wind,10,171,671,80182
15,82,N,Density & wind,5,302,1718,89023
14,80,N,Density & wind,5,274,1412,86668
20,76,N,Density & wind,10,266,1218,82374
22,80,N,Density & wind,10,239,1331,86787
16,84,N,Density & wind,5,326,2080,91305
24,84,N,Density & wind,10,274,1554,91084
23,82,N,Density & wind,10,301,1768,88820
21,78,N,Density & wind,10,288,1579,84391
26,72,N,Density & wind,15,421,2114,78023
27,74,N,Density & wind,15,361,1802,80159
35,74,N,Density & wind,20,221,859,80384
25,70,N,Density & wind,15,381,1561,75836
33,70,N,Density & wind,20,241,749,75969
29,78,N,Density & wind,15,481,2591,84605
34,72,N,Density & wind,20,281,1006,78298
30,80,N,Density & wind,15,581,3894,87123
42,72,N,Density & wind,25,221,583,78222
41,70,N,Density & wind,25,201,599,75688
36,76,N,Density & wind,20,341,1437,82325
43,74,N,Density & wind,25,281,1283,80199
31,82,N,Density & wind,15,501,3732,88954
37,78,N,Density & wind,20,401,1987,84690
38,80,N,Density & wind,20,421,2160,86875
49,70,N,Density & wind,30,241,809,75896
32,84,N,Density & wind,15,821,5711,90931
28,76,N,Density & wind,15,921,5332,82618
44,76,N,Density & wind,25,461,2152,82395
39,82,N,Density & wind,20,561,4508,89247
45,78,N,Density & wind,25,401,2046,84443
46,80,N,Density & wind,25,421,2963,86966
50,72,N,Density & wind,30,441,1884,78277
40,84,N,Density & wind,20,481,3617,90936
