[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
10,72,N,No fighting,5,1681,76806,78025
5,78,N,No fighting,0,1661,84095,84445
3,74,N,No fighting,0,1651,79723,80387
7,82,N,No fighting,0,1656,88731,88901
2,72,N,No fighting,0,1666,77325,78305
9,70,N,No fighting,5,1726,73980,75855
4,76,N,No fighting,0,1641,81805,82250
11,74,N,No fighting,5,1651,79486,80320
12,76,N,No fighting,5,1676,81976,82525
6,80,N,No fighting,0,1641,86607,86792
8,84,N,No fighting,0,1656,91120,91192
1,70,N,No fighting,0,1746,74338,75855
14,80,N,No fighting,5,1651,86575,86836
17,70,N,No fighting,10,1771,73906,76099
19,74,N,No fighting,10,1666,79193,80263
13,78,N,No fighting,5,1651,84307,84696
18,72,N,No fighting,10,1701,76517,78126
20,76,N,No fighting,10,1651,81579,82354
21,78,N,No fighting,10,1641,84005,84547
15,82,N,No fighting,5,1641,88769,88960
16,84,N,No fighting,5,1641,90865,90977
23,82,N,No fighting,10,1641,88651,88913
22,80,N,No fighting,10,1636,86607,86934
25,70,N,No fighting,15,1781,74372,76002
27,74,N,No fighting,15,1741,79573,80359
28,76,N,No fighting,15,1701,81623,82228
26,72,N,No fighting,15,1721,76938,78094
33,70,N,No fighting,20,1821,74153,75886
30,80,N,No fighting,15,1701,86493,86761
31,82,N,No fighting,15,1701,88906,89088
34,72,N,No fighting,20,1741,76972,78208
29,78,N,No fighting,15,1701,84278,84680
24,84,N,No fighting,10,1651,90958,91109
32,84,N,No fighting,15,1701,91175,91293
35,74,N,No fighting,20,1781,79395,80281
36,76,N,No fighting,20,1701,81744,82359
37,78,N,No fighting,20,1721,83936,84379
41,70,N,No fighting,25,1861,74060,75960
38,80,N,No fighting,20,1701,86518,86791
42,72,N,No fighting,25,1841,76607,77988
43,74,N,No fighting,25,1721,79235,80172
40,84,N,No fighting,20,1701,91082,91194
39,82,N,No fighting,20,1701,88709,88904
44,76,N,No fighting,25,1721,81653,82306
46,80,N,No fighting,25,1701,86268,86594
47,82,N,No fighting,25,1701,88752,88982
49,70,N,No fighting,30,1921,73510,75810
48,84,N,No fighting,25,1701,90977,91090
50,72,N,No fighting,30,1781,76701,78285
51,74,N,No fighting,30,1781,79340,80361
52,76,N,No fighting,30,1721,81835,82551
54,80,N,No fighting,30,1701,86863,87148
53,78,N,No fighting,30,1741,84309,84769
45,78,N,No fighting,25,1701,84071,84554
57,70,N,No fighting,35,1881,73558,75828
55,82,N,No fighting,30,1701,88697,88915
56,84,N,No fighting,30,1701,91011,91150
58,72,N,No fighting,35,1821,76502,78029
59,74,N,No fighting,35,1781,79429,80632
60,76,N,No fighting,35,1741,81648,82411
65,70,N,No fighting,40,2041,72541,75969
61,78,N,No fighting,35,1741,84247,84744
62,80,N,No fighting,35,1721,86461,86803
63,82,N,No fighting,35,1721,88605,88891
67,74,N,No fighting,40,1876,79049,80349
68,76,N,No fighting,40,1816,81416,82531
64,84,N,No fighting,35,1701,90783,90957
69,78,N,No fighting,40,1741,83624,84384
70,80,N,No fighting,40,1756,86445,86961
71,82,N,No fighting,40,1726,88626,88986
73,70,N,No fighting,45,2221,71885,75811
72,84,N,No fighting,40,1696,90915,91108
74,72,N,No fighting,45,2071,75768,78261
75,74,N,No fighting,45,1876,78510,80241
76,76,N,No fighting,45,1846,81233,82480
77,78,N,No fighting,45,1801,83568,84485
78,80,N,No fighting,45,1801,86117,86733
66,72,N,No fighting,40,1906,76218,78354
79,82,N,No fighting,45,1741,88661,88984
81,70,N,No fighting,50,2356,71737,76196
82,72,N,No fighting,50,2056,75156,77946
80,84,N,No fighting,45,1711,90872,91155
83,74,N,No fighting,50,2086,78298,80334
84,76,N,No fighting,50,1936,81201,82683
85,78,N,No fighting,50,1846,83551,84557
86,80,N,No fighting,50,1801,86008,86689
87,82,N,No fighting,50,1786,88349,88826
88,84,N,No fighting,50,1771,90805,91120
91,74,N,No fighting,55,1621,79000,79960
89,70,N,No fighting,55,1741,74048,76137
97,70,N,No fighting,60,1801,74051,76088
93,78,N,No fighting,55,1561,84166,84661
92,76,N,No fighting,55,1501,81774,82503
98,72,N,No fighting,60,1681,76333,77956
96,84,N,No fighting,55,1381,91045,91203
95,82,N,No fighting,55,1381,88780,88995
99,74,N,No fighting,60,1741,79106,80199
94,80,N,No fighting,55,1441,86396,86751
90,72,N,No fighting,55,1621,76493,77962
100,76,N,No fighting,60,1621,81684,82397
106,72,N,No fighting,65,2001,74838,78012
105,70,N,No fighting,65,2461,70519,75668
107,74,N,No fighting,65,1761,77947,80321
108,76,N,No fighting,65,1641,80823,82358
113,70,N,No fighting,70,1141,40117,75888
109,78,N,No fighting,65,1561,83206,84553
110,80,N,No fighting,65,1521,85870,86671
112,84,N,No fighting,65,1381,90830,91196
115,74,N,No fighting,70,2041,77378,80335
114,72,N,No fighting,70,2881,72782,78368
101,78,N,No fighting,60,1501,84269,84738
102,80,N,No fighting,60,1501,86755,87102
116,76,N,No fighting,70,1721,80759,82571
121,70,N,No fighting,75,1661,31232,75980
117,78,N,No fighting,70,1641,83027,84448
111,82,N,No fighting,65,1401,88518,89081
118,80,N,No fighting,70,1621,85804,86806
103,82,N,No fighting,60,1441,88747,89004
104,84,N,No fighting,60,1441,91016,91149
123,74,N,No fighting,75,1561,52137,80092
129,70,N,No fighting,80,1241,25262,75748
130,72,N,No fighting,80,1321,29747,78024
119,82,N,No fighting,70,1501,88304,88967
122,72,N,No fighting,75,3181,70307,78182
131,74,N,No fighting,80,1221,45236,80535
120,84,N,No fighting,70,1441,90709,91224
137,70,N,No fighting,85,901,12931,75880
125,78,N,No fighting,75,2101,82132,84433
124,76,N,No fighting,75,2301,80364,82429
126,80,N,No fighting,75,2021,85813,86893
127,82,N,No fighting,75,1701,88170,89044
138,72,N,No fighting,85,1081,26564,78296
139,74,N,No fighting,85,1181,35653,80292
132,76,N,No fighting,80,4161,76710,82338
140,76,N,No fighting,85,1261,38250,82892
133,78,N,No fighting,80,3201,82394,84428
141,78,N,No fighting,85,1121,42941,84602
145,70,N,No fighting,90,861,15690,76074
134,80,N,No fighting,80,2721,84989,86665
146,72,N,No fighting,90,1021,13167,78056
135,82,N,No fighting,80,2021,87762,88845
136,84,N,No fighting,80,1941,90477,91115
147,74,N,No fighting,90,961,24258,80250
153,70,N,No fighting,95,781,11947,75750
148,76,N,No fighting,90,981,32878,82365
154,72,N,No fighting,95,781,16221,78075
149,78,N,No fighting,90,1061,36735,84550
142,80,N,No fighting,85,3941,84323,86789
150,80,N,No fighting,90,1201,42719,86702
155,74,N,No fighting,95,961,27132,80345
128,84,N,No fighting,75,1581,90681,91241
143,82,N,No fighting,85,2941,87466,89226
151,82,N,No fighting,90,1281,50625,88962
144,84,N,No fighting,85,2601,89672,91098
152,84,N,No fighting,90,1201,48732,91011
161,70,N,No fighting,100,721,14549,75820
162,72,N,No fighting,100,641,12262,77914
156,76,N,No fighting,95,981,30209,82651
157,78,N,No fighting,95,921,31858,84384
158,80,N,No fighting,95,961,34977,86822
159,82,N,No fighting,95,1141,33530,89024
164,76,N,No fighting,100,921,22101,82571
160,84,N,No fighting,95,1081,39281,91129
166,80,N,No fighting,100,921,28945,86875
165,78,N,No fighting,100,941,29336,84744
167,82,N,No fighting,100,921,31842,89005
168,84,N,No fighting,100,941,36420,91130
163,74,N,No fighting,100,741,13577,80280
