[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
9,70,N,Uniform,5,171,629,75843
10,72,N,Uniform,5,291,1289,77837
2,72,N,Uniform,0,246,1054,78081
1,70,N,Uniform,0,260,1108,76303
11,74,N,Uniform,5,1667,76493,80322
5,78,N,Uniform,0,1641,81511,84744
12,76,N,Uniform,5,1695,78319,82281
17,70,N,Uniform,10,155,451,75749
18,72,N,Uniform,10,111,369,78159
8,84,N,Uniform,0,1626,88211,91255
7,82,N,Uniform,0,1621,85902,89004
13,78,N,Uniform,5,1616,81455,84893
6,80,N,Uniform,0,1616,83678,86876
3,74,N,Uniform,0,1641,76134,80201
14,80,N,Uniform,5,1661,83425,86922
25,70,N,Uniform,15,161,452,75772
4,76,N,Uniform,0,1641,79216,82399
15,82,N,Uniform,5,1616,85823,88903
16,84,N,Uniform,5,1618,88162,91315
19,74,N,Uniform,10,1661,75914,80231
21,78,N,Uniform,10,1636,81247,84791
20,76,N,Uniform,10,1711,78479,82330
22,80,N,Uniform,10,1626,83447,86739
23,82,N,Uniform,10,1621,85630,88933
24,84,N,Uniform,10,1641,87654,91053
27,74,N,Uniform,15,1681,76742,80164
28,76,N,Uniform,15,1741,79645,82521
26,72,N,Uniform,15,1641,74208,78088
29,78,N,Uniform,15,1661,81761,84562
30,80,N,Uniform,15,1641,84208,86680
41,70,N,Uniform,25,381,1391,75918
33,70,N,Uniform,20,1741,71330,76043
32,84,N,Uniform,15,1661,88460,90986
34,72,N,Uniform,20,1801,74296,78100
37,78,N,Uniform,20,1641,81641,84563
36,76,N,Uniform,20,1661,79389,82390
35,74,N,Uniform,20,1721,76733,80080
49,70,N,Uniform,30,261,808,75738
38,80,N,Uniform,20,1661,84492,87098
31,82,N,Uniform,15,1641,86576,89134
39,82,N,Uniform,20,1621,86010,88996
40,84,N,Uniform,20,1641,88678,91268
42,72,N,Uniform,25,1721,72816,77819
44,76,N,Uniform,25,1681,79340,82434
43,74,N,Uniform,25,1641,76197,80307
45,78,N,Uniform,25,1681,81675,84511
46,80,N,Uniform,25,1641,83846,86652
47,82,N,Uniform,25,1641,86104,88823
50,72,N,Uniform,30,1681,72799,78078
48,84,N,Uniform,25,1641,88682,91138
51,74,N,Uniform,30,1721,76443,80200
53,78,N,Uniform,30,1661,81698,84711
58,72,N,Uniform,35,1881,71259,78047
56,84,N,Uniform,30,1621,88820,91486
54,80,N,Uniform,30,1641,83597,86884
55,82,N,Uniform,30,1641,86113,88900
57,70,N,Uniform,35,2281,64865,75567
59,74,N,Uniform,35,1781,76419,80289
60,76,N,Uniform,35,1661,78534,82532
52,76,N,Uniform,30,1681,79250,82527
61,78,N,Uniform,35,1681,81256,84648
62,80,N,Uniform,35,1681,83786,86711
63,82,N,Uniform,35,1701,86177,88949
65,70,N,Uniform,40,1981,65940,75876
66,72,N,Uniform,40,1786,71401,78037
64,84,N,Uniform,35,1661,88674,91226
67,74,N,Uniform,40,1666,73964,80207
68,76,N,Uniform,40,1726,78412,82564
69,78,N,Uniform,40,1681,80396,84376
70,80,N,Uniform,40,1666,83184,86670
71,82,N,Uniform,40,1741,85992,88998
74,72,N,Uniform,45,1786,69544,78082
75,74,N,Uniform,45,1906,74334,80266
76,76,N,Uniform,45,1771,77494,82494
73,70,N,Uniform,45,2896,61895,76047
77,78,N,Uniform,45,1786,80256,84329
78,80,N,Uniform,45,1696,83159,86615
72,84,N,Uniform,40,1606,87937,91164
81,70,N,Uniform,50,2236,55675,75831
79,82,N,Uniform,45,1696,85689,89114
83,74,N,Uniform,50,1876,74315,80291
82,72,N,Uniform,50,2101,70794,78131
80,84,N,Uniform,45,1711,87669,91129
84,76,N,Uniform,50,1816,77331,82369
85,78,N,Uniform,50,1741,79543,84709
86,80,N,Uniform,50,1681,82604,86665
88,84,N,Uniform,50,1726,87907,91126
87,82,N,Uniform,50,1726,85337,88992
89,70,N,Uniform,55,1621,72289,76016
97,70,N,Uniform,60,1801,70703,75840
93,78,N,Uniform,55,1441,82928,84498
91,74,N,Uniform,55,1501,78008,80277
92,76,N,Uniform,55,1501,80362,82459
94,80,N,Uniform,55,1441,85325,86602
98,72,N,Uniform,60,1741,74886,78106
105,70,N,Uniform,65,181,412,76002
