[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
4,76,N,Wind,0,281,1486,82794
1,70,N,Wind,0,191,896,76316
7,82,N,Wind,0,365,2048,89212
10,72,N,Wind,5,232,1025,78124
3,74,N,Wind,0,239,1158,80162
12,76,N,Wind,5,271,1584,82393
11,74,N,Wind,5,253,1399,80502
9,70,N,Wind,5,218,921,75638
2,72,N,Wind,0,256,1065,78200
6,80,N,Wind,0,309,2003,86957
8,84,N,Wind,0,337,2451,91151
17,70,N,Wind,10,131,427,75821
18,72,N,Wind,10,148,697,77793
13,78,N,Wind,5,260,1456,84503
19,74,N,Wind,10,196,673,80139
20,76,N,Wind,10,256,1263,82412
16,84,N,Wind,5,301,2145,91050
15,82,N,Wind,5,407,2729,88986
21,78,N,Wind,10,274,1471,84631
5,78,N,Wind,0,521,2883,84782
23,82,N,Wind,10,267,1664,88942
25,70,N,Wind,15,281,947,75854
26,72,N,Wind,15,441,1793,78399
30,80,N,Wind,15,321,1878,86901
24,84,N,Wind,10,421,3011,91144
22,80,N,Wind,10,463,2165,86866
28,76,N,Wind,15,361,1856,82284
33,70,N,Wind,20,261,1003,75986
14,80,N,Wind,5,576,2751,86747
34,72,N,Wind,20,321,1029,78102
35,74,N,Wind,20,361,1645,80455
27,74,N,Wind,15,481,2293,80169
31,82,N,Wind,15,501,3010,88857
36,76,N,Wind,20,401,2254,82474
29,78,N,Wind,15,681,4385,84745
37,78,N,Wind,20,441,2582,84739
42,72,N,Wind,25,341,1672,78258
39,82,N,Wind,20,521,3781,89154
38,80,N,Wind,20,521,3562,86873
43,74,N,Wind,25,501,2816,80246
32,84,N,Wind,15,681,5533,91205
41,70,N,Wind,25,481,2389,75928
50,72,N,Wind,30,241,1091,78333
49,70,N,Wind,30,241,791,76091
46,80,N,Wind,25,541,2982,87007
40,84,N,Wind,20,761,6168,90917
52,76,N,Wind,30,421,2114,82227
51,74,N,Wind,30,361,1225,80312
57,70,N,Wind,35,281,789,75677
53,78,N,Wind,30,341,1805,84304
44,76,N,Wind,25,941,5142,82451
58,72,N,Wind,35,221,796,77933
45,78,N,Wind,25,901,4620,84575
47,82,N,Wind,25,741,5564,88782
55,82,N,Wind,30,481,2870,88872
48,84,N,Wind,25,821,5660,91184
65,70,N,Wind,40,166,496,76025
60,76,N,Wind,35,381,1655,82310
61,78,N,Wind,35,281,1284,84484
54,80,N,Wind,30,361,2656,86782
66,72,N,Wind,40,271,1320,78167
59,74,N,Wind,35,501,2259,80401
62,80,N,Wind,35,381,1959,86862
73,70,N,Wind,45,151,390,76000
67,74,N,Wind,40,331,1434,80391
68,76,N,Wind,40,301,1658,82603
69,78,N,Wind,40,241,1221,84548
64,84,N,Wind,35,481,3312,91073
74,72,N,Wind,45,241,1049,78301
70,80,N,Wind,40,361,2186,86782
63,82,N,Wind,35,541,3882,88883
81,70,N,Wind,50,106,316,75947
77,78,N,Wind,45,286,1442,84646
76,76,N,Wind,45,376,1766,82488
75,74,N,Wind,45,365,2050,80223
83,74,N,Wind,50,166,514,80385
82,72,N,Wind,50,196,618,78234
78,80,N,Wind,45,391,2428,86754
56,84,N,Wind,30,941,7154,91158
85,78,N,Wind,50,181,611,84792
80,84,N,Wind,45,436,2645,91070
84,76,N,Wind,50,301,1233,82343
71,82,N,Wind,40,856,5069,88801
79,82,N,Wind,45,481,3228,88976
86,80,N,Wind,50,271,1308,86682
72,84,N,Wind,40,346,2336,91113
87,82,N,Wind,50,361,2131,88897
88,84,N,Wind,50,526,3617,91004
89,70,N,Wind,55,661,2188,75834
97,70,N,Wind,60,721,3226,75983
98,72,N,Wind,60,961,4890,77935
90,72,N,Wind,55,1261,11896,77925
91,74,N,Wind,55,1261,16325,80170
105,70,N,Wind,65,121,286,75746
99,74,N,Wind,60,1321,15547,80180
106,72,N,Wind,65,221,1005,77947
107,74,N,Wind,65,381,2117,80457
109,78,N,Wind,65,361,2430,84575
108,76,N,Wind,65,1281,16284,82395
110,80,N,Wind,65,1141,14129,86714
111,82,N,Wind,65,1121,24767,89009
112,84,N,Wind,65,1041,21149,91160
113,70,N,Wind,70,221,962,76020
114,72,N,Wind,70,221,1034,78112
115,74,N,Wind,70,241,1409,80357
116,76,N,Wind,70,401,2815,82457
117,78,N,Wind,70,581,3651,84754
92,76,N,Wind,55,1381,26237,82353
118,80,N,Wind,70,821,7129,86908
121,70,N,Wind,75,201,664,75798
122,72,N,Wind,75,181,774,77780
123,74,N,Wind,75,341,2132,80239
119,82,N,Wind,70,1181,11437,88989
124,76,N,Wind,75,361,2324,82533
125,78,N,Wind,75,421,2947,84583
126,80,N,Wind,75,501,4310,86614
127,82,N,Wind,75,801,9367,88851
120,84,N,Wind,70,1321,28031,91063
129,70,N,Wind,80,181,628,76000
130,72,N,Wind,80,201,863,78277
93,78,N,Wind,55,1381,29318,84414
131,74,N,Wind,80,221,990,80328
132,76,N,Wind,80,301,1777,82535
133,78,N,Wind,80,401,2498,84818
134,80,N,Wind,80,301,1879,86849
137,70,N,Wind,85,141,521,75843
138,72,N,Wind,85,121,248,78093
139,74,N,Wind,85,181,761,80215
140,76,N,Wind,85,221,812,82474
128,84,N,Wind,75,1201,18363,91115
141,78,N,Wind,85,321,1601,84565
142,80,N,Wind,85,401,3528,86897
143,82,N,Wind,85,581,5477,88966
145,70,N,Wind,90,161,484,75737
146,72,N,Wind,90,161,553,78206
147,74,N,Wind,90,181,1068,80229
136,84,N,Wind,80,1641,20146,91156
100,76,N,Wind,60,1501,32871,82195
102,80,N,Wind,60,1501,34325,86776
101,78,N,Wind,60,1501,34483,84605
148,76,N,Wind,90,1001,33730,82592
153,70,N,Wind,95,181,882,75907
94,80,N,Wind,55,1381,36293,86861
155,74,N,Wind,95,181,784,80482
154,72,N,Wind,95,261,1481,78360
149,78,N,Wind,90,1041,35278,84497
