[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
7,52,N,Fire density,0,51,71,56499
8,54,N,Fire density,0,56,131,58674
4,46,N,Fire density,0,41,42,49842
5,48,N,Fire density,0,46,39,52303
6,50,N,Fire density,0,41,58,54096
10,58,N,Fire density,0,71,113,62918
9,56,N,Fire density,0,61,122,61187
1,40,N,Fire density,0,46,46,43642
3,44,N,Fire density,0,31,23,47743
13,64,N,Fire density,0,126,384,69615
14,66,N,Fire density,0,76,216,71742
12,62,N,Fire density,0,76,155,67328
11,60,N,Fire density,0,51,115,65125
2,42,N,Fire density,0,56,53,45274
17,72,N,Fire density,0,136,472,77925
16,70,N,Fire density,0,169,631,75856
28,42,N,Fire density,5,41,43,45519
27,40,N,Fire density,5,41,29,43575
29,44,N,Fire density,5,41,51,47628
30,46,N,Fire density,5,41,38,49948
15,68,N,Fire density,0,196,985,73881
31,48,N,Fire density,5,46,63,52162
32,50,N,Fire density,5,51,63,54320
33,52,N,Fire density,5,51,92,56577
34,54,N,Fire density,5,41,50,58482
35,56,N,Fire density,5,51,98,60513
36,58,N,Fire density,5,46,79,62895
37,60,N,Fire density,5,78,198,64615
38,62,N,Fire density,5,85,187,67271
39,64,N,Fire density,5,71,150,69604
40,66,N,Fire density,5,71,177,71346
41,68,N,Fire density,5,76,228,73813
43,72,N,Fire density,5,162,686,78287
42,70,N,Fire density,5,216,817,76001
18,74,N,Fire density,0,1661,76506,80126
19,76,N,Fire density,0,1631,79217,82611
22,82,N,Fire density,0,1636,85531,88882
44,74,N,Fire density,5,1681,76471,80263
24,86,N,Fire density,0,1606,89946,93360
23,84,N,Fire density,0,1646,87797,90997
21,80,N,Fire density,0,1626,83536,86755
45,76,N,Fire density,5,1626,78872,82491
53,40,N,Fire density,10,41,29,43074
54,42,N,Fire density,10,31,25,45421
55,44,N,Fire density,10,36,37,47872
56,46,N,Fire density,10,46,62,49857
57,48,N,Fire density,10,41,25,52033
58,50,N,Fire density,10,41,32,54145
59,52,N,Fire density,10,36,55,56227
61,56,N,Fire density,10,56,92,60931
60,54,N,Fire density,10,76,140,58871
25,88,N,Fire density,0,1632,92011,95384
26,90,N,Fire density,0,1621,94301,97656
46,78,N,Fire density,5,1616,80893,84418
62,58,N,Fire density,10,50,113,63145
63,60,N,Fire density,10,71,170,64997
20,78,N,Fire density,0,1621,81219,84594
64,62,N,Fire density,10,76,180,67249
66,66,N,Fire density,10,91,226,71423
65,64,N,Fire density,10,96,250,69609
67,68,N,Fire density,10,86,237,73570
68,70,N,Fire density,10,91,245,76003
69,72,N,Fire density,10,206,888,78338
47,80,N,Fire density,5,1631,83491,86793
49,84,N,Fire density,5,1626,87897,91055
48,82,N,Fire density,5,1636,85458,88751
70,74,N,Fire density,10,1666,76166,80387
50,86,N,Fire density,5,1625,90071,93279
79,40,N,Fire density,15,101,44,43555
51,88,N,Fire density,5,1618,92181,95504
80,42,N,Fire density,15,101,53,45854
81,44,N,Fire density,15,81,41,47812
82,46,N,Fire density,15,81,44,49890
73,80,N,Fire density,10,1611,83176,86738
84,50,N,Fire density,15,81,58,54097
83,48,N,Fire density,15,81,36,52086
85,52,N,Fire density,15,101,70,56555
72,78,N,Fire density,10,1641,81242,84792
86,54,N,Fire density,15,101,122,58556
87,56,N,Fire density,15,101,101,60477
88,58,N,Fire density,15,81,82,62962
89,60,N,Fire density,15,101,123,65192
52,90,N,Fire density,5,1611,94229,97712
90,62,N,Fire density,15,121,251,67414
91,64,N,Fire density,15,141,437,69417
93,68,N,Fire density,15,121,221,73614
92,66,N,Fire density,15,181,530,71434
94,70,N,Fire density,15,161,493,75996
74,82,N,Fire density,10,1611,85643,88961
71,76,N,Fire density,10,1651,78673,82519
95,72,N,Fire density,15,381,1660,78025
76,86,N,Fire density,10,1631,90088,93497
77,88,N,Fire density,10,1606,91950,95453
105,40,N,Fire density,20,81,34,43502
75,84,N,Fire density,10,1632,87878,91113
106,42,N,Fire density,20,81,21,45157
108,46,N,Fire density,20,101,76,50039
109,48,N,Fire density,20,81,37,52199
107,44,N,Fire density,20,81,46,47630
78,90,N,Fire density,10,1621,94499,97850
110,50,N,Fire density,20,101,65,54166
112,54,N,Fire density,20,101,101,58507
113,56,N,Fire density,20,121,166,60854
114,58,N,Fire density,20,101,164,62937
111,52,N,Fire density,20,101,89,56286
115,60,N,Fire density,20,121,195,65027
116,62,N,Fire density,20,121,191,67196
118,66,N,Fire density,20,201,672,71667
119,68,N,Fire density,20,161,398,73610
117,64,N,Fire density,20,121,260,69678
120,70,N,Fire density,20,241,879,76114
121,72,N,Fire density,20,301,1382,78094
96,74,N,Fire density,15,1641,77395,80335
97,76,N,Fire density,15,1621,79885,82511
99,80,N,Fire density,15,1641,84443,86730
98,78,N,Fire density,15,1621,82181,84644
100,82,N,Fire density,15,1621,87055,88980
101,84,N,Fire density,15,1641,89243,91171
102,86,N,Fire density,15,1641,91347,93284
131,40,N,Fire density,25,81,18,43434
132,42,N,Fire density,25,81,23,45520
133,44,N,Fire density,25,101,69,47637
103,88,N,Fire density,15,1641,93530,95380
134,46,N,Fire density,25,101,81,50088
135,48,N,Fire density,25,81,57,52093
136,50,N,Fire density,25,101,137,54137
137,52,N,Fire density,25,101,82,56342
138,54,N,Fire density,25,101,54,58342
139,56,N,Fire density,25,101,100,60919
140,58,N,Fire density,25,101,71,63181
141,60,N,Fire density,25,101,175,65340
142,62,N,Fire density,25,121,256,67174
143,64,N,Fire density,25,121,219,69440
144,66,N,Fire density,25,141,368,71640
145,68,N,Fire density,25,201,593,73585
147,72,N,Fire density,25,461,2228,77907
104,90,N,Fire density,15,1621,95493,97479
123,76,N,Fire density,20,1621,79869,82592
125,80,N,Fire density,20,1561,83427,86329
124,78,N,Fire density,20,1641,82415,84671
126,82,N,Fire density,20,1661,87068,88995
127,84,N,Fire density,20,1621,89141,91144
122,74,N,Fire density,20,1621,76786,80124
128,86,N,Fire density,20,1641,91323,93266
129,88,N,Fire density,20,1641,93354,95253
157,40,N,Fire density,30,81,29,43590
158,42,N,Fire density,30,81,35,45458
130,90,N,Fire density,20,1621,95777,97743
159,44,N,Fire density,30,101,62,47915
160,46,N,Fire density,30,81,56,49638
161,48,N,Fire density,30,101,82,52161
162,50,N,Fire density,30,101,58,54230
163,52,N,Fire density,30,101,107,56361
164,54,N,Fire density,30,101,72,58497
146,70,N,Fire density,25,1741,70561,75800
165,56,N,Fire density,30,121,136,60525
166,58,N,Fire density,30,101,107,62956
167,60,N,Fire density,30,121,207,65203
168,62,N,Fire density,30,121,188,67206
169,64,N,Fire density,30,101,189,69247
170,66,N,Fire density,30,121,266,71653
172,70,N,Fire density,30,181,564,75984
171,68,N,Fire density,30,201,583,73830
173,72,N,Fire density,30,161,474,78071
174,74,N,Fire density,30,201,742,80396
148,74,N,Fire density,25,1641,75762,80039
149,76,N,Fire density,25,1621,79218,82304
151,80,N,Fire density,25,1621,84436,86796
150,78,N,Fire density,25,1661,82182,84528
153,84,N,Fire density,25,1621,89065,91117
152,82,N,Fire density,25,1661,86957,88980
154,86,N,Fire density,25,1621,91430,93477
183,40,N,Fire density,35,101,53,43442
184,42,N,Fire density,35,101,59,45692
186,46,N,Fire density,35,81,46,49645
185,44,N,Fire density,35,81,34,47670
187,48,N,Fire density,35,81,32,52348
188,50,N,Fire density,35,81,40,54354
189,52,N,Fire density,35,81,62,56591
190,54,N,Fire density,35,101,100,58660
191,56,N,Fire density,35,101,97,60692
192,58,N,Fire density,35,101,87,62875
193,60,N,Fire density,35,121,185,65212
194,62,N,Fire density,35,101,117,67372
195,64,N,Fire density,35,121,147,69244
196,66,N,Fire density,35,141,340,71363
197,68,N,Fire density,35,161,421,73597
199,72,N,Fire density,35,161,465,78034
198,70,N,Fire density,35,161,465,76306
200,74,N,Fire density,35,201,747,80285
156,90,N,Fire density,25,1661,95687,97551
175,76,N,Fire density,30,1681,79762,82417
177,80,N,Fire density,30,1681,84672,86910
176,78,N,Fire density,30,1641,82073,84727
178,82,N,Fire density,30,1621,86822,88904
155,88,N,Fire density,25,1621,93491,95505
180,86,N,Fire density,30,1621,91273,93379
209,40,N,Fire density,40,76,22,43270
210,42,N,Fire density,40,61,25,45744
179,84,N,Fire density,30,1621,89214,91266
211,44,N,Fire density,40,61,36,47757
212,46,N,Fire density,40,76,28,49983
213,48,N,Fire density,40,61,19,52169
214,50,N,Fire density,40,91,85,54137
215,52,N,Fire density,40,76,81,56333
217,56,N,Fire density,40,76,108,60613
216,54,N,Fire density,40,76,115,58548
218,58,N,Fire density,40,91,57,62670
219,60,N,Fire density,40,106,165,64921
220,62,N,Fire density,40,106,266,67319
221,64,N,Fire density,40,91,198,69352
222,66,N,Fire density,40,106,175,71365
223,68,N,Fire density,40,91,131,73824
224,70,N,Fire density,40,136,362,75942
181,88,N,Fire density,30,1661,93648,95682
225,72,N,Fire density,40,151,510,77983
227,76,N,Fire density,40,226,1115,82376
182,90,N,Fire density,30,1641,95605,97552
202,78,N,Fire density,35,1681,82023,84709
201,76,N,Fire density,35,1681,79581,82571
203,80,N,Fire density,35,1681,84587,86841
204,82,N,Fire density,35,1681,86747,88908
205,84,N,Fire density,35,1641,89114,91190
235,40,N,Fire density,45,61,27,43293
236,42,N,Fire density,45,61,18,45441
237,44,N,Fire density,45,76,47,47871
238,46,N,Fire density,45,76,84,49605
239,48,N,Fire density,45,61,24,52125
240,50,N,Fire density,45,76,44,54169
241,52,N,Fire density,45,76,78,56319
242,54,N,Fire density,45,76,70,58354
243,56,N,Fire density,45,91,131,60750
244,58,N,Fire density,45,61,42,63021
245,60,N,Fire density,45,91,111,65206
226,74,N,Fire density,40,1846,74974,80327
246,62,N,Fire density,45,121,333,67424
247,64,N,Fire density,45,106,204,69531
206,86,N,Fire density,35,1661,91342,93242
249,68,N,Fire density,45,91,161,73926
248,66,N,Fire density,45,151,393,71610
250,70,N,Fire density,45,136,421,76191
252,74,N,Fire density,45,241,1168,80477
251,72,N,Fire density,45,316,1783,77924
253,76,N,Fire density,45,286,1617,82497
228,78,N,Fire density,40,1636,81345,84643
207,88,N,Fire density,35,1621,93289,95442
229,80,N,Fire density,40,1651,84233,86816
230,82,N,Fire density,40,1591,86226,89015
231,84,N,Fire density,40,1606,88470,91095
261,40,N,Fire density,50,76,29,43471
262,42,N,Fire density,50,76,35,45616
263,44,N,Fire density,50,61,17,47881
264,46,N,Fire density,50,76,59,49827
265,48,N,Fire density,50,76,52,52194
266,50,N,Fire density,50,61,18,54244
