[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
2,42,N,Density & wind,0,46,40,45712
6,50,N,Density & wind,0,51,85,54387
3,44,N,Density & wind,0,41,29,47826
1,40,N,Density & wind,0,51,43,43398
5,48,N,Density & wind,0,36,43,52079
7,52,N,Density & wind,0,56,80,56773
4,46,N,Density & wind,0,51,46,50282
10,58,N,Density & wind,0,91,190,62877
8,54,N,Density & wind,0,66,124,58642
12,62,N,Density & wind,0,71,260,67289
9,56,N,Density & wind,0,57,109,60796
11,60,N,Density & wind,0,85,239,64717
14,66,N,Density & wind,0,148,583,71534
15,68,N,Density & wind,0,106,380,73629
13,64,N,Density & wind,0,85,235,69084
27,40,N,Density & wind,5,31,41,43483
17,72,N,Density & wind,0,155,646,77945
20,78,N,Density & wind,0,251,1211,84576
29,44,N,Density & wind,5,46,48,47933
28,42,N,Density & wind,5,41,31,45650
30,46,N,Density & wind,5,46,63,49765
22,82,N,Density & wind,0,295,1942,89026
31,48,N,Density & wind,5,41,48,51992
33,52,N,Density & wind,5,57,90,56411
32,50,N,Density & wind,5,43,64,54244
19,76,N,Density & wind,0,261,1297,82585
16,70,N,Density & wind,0,206,991,75973
23,84,N,Density & wind,0,302,1864,91236
34,54,N,Density & wind,5,61,110,58482
21,80,N,Density & wind,0,316,1654,86786
18,74,N,Density & wind,0,281,1404,80404
35,56,N,Density & wind,5,71,140,60509
36,58,N,Density & wind,5,61,124,62796
25,88,N,Density & wind,0,400,3072,95496
24,86,N,Density & wind,0,344,2449,93418
38,62,N,Density & wind,5,76,131,67264
37,60,N,Density & wind,5,61,103,65177
40,66,N,Density & wind,5,101,237,71575
39,64,N,Density & wind,5,66,124,69497
41,68,N,Density & wind,5,131,483,73681
26,90,N,Density & wind,0,484,4042,97601
42,70,N,Density & wind,5,166,643,75997
46,78,N,Density & wind,5,201,994,84464
45,76,N,Density & wind,5,253,1218,82302
53,40,N,Density & wind,10,41,23,43356
54,42,N,Density & wind,10,31,16,45434
43,72,N,Density & wind,5,197,677,78351
55,44,N,Density & wind,10,46,55,47776
47,80,N,Density & wind,5,274,1800,86730
56,46,N,Density & wind,10,46,53,50149
57,48,N,Density & wind,10,41,65,52199
48,82,N,Density & wind,5,232,1217,88875
44,74,N,Density & wind,5,288,1499,80212
58,50,N,Density & wind,10,43,56,54314
59,52,N,Density & wind,10,51,75,56541
60,54,N,Density & wind,10,61,115,58632
63,60,N,Density & wind,10,86,130,65426
62,58,N,Density & wind,10,113,277,62912
61,56,N,Density & wind,10,51,88,60450
65,64,N,Density & wind,10,76,149,69355
64,62,N,Density & wind,10,71,189,67273
49,84,N,Density & wind,5,396,2385,91087
50,86,N,Density & wind,5,386,2704,93383
68,70,N,Density & wind,10,151,593,75979
70,74,N,Density & wind,10,183,811,80002
67,68,N,Density & wind,10,186,684,73446
66,66,N,Density & wind,10,191,822,71559
79,40,N,Density & wind,15,81,42,43284
52,90,N,Density & wind,5,526,3994,97693
73,80,N,Density & wind,10,190,1068,86704
71,76,N,Density & wind,10,274,1219,82621
72,78,N,Density & wind,10,225,1179,84777
51,88,N,Density & wind,5,386,2831,95432
83,48,N,Density & wind,15,101,75,52198
81,44,N,Density & wind,15,101,40,47603
