[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
2,42,N,Fire density,0,41,42,45608
9,56,N,Fire density,0,92,216,60688
6,50,N,Fire density,0,51,58,54165
3,44,N,Fire density,0,41,39,47656
5,48,N,Fire density,0,46,47,52100
1,40,N,Fire density,0,31,27,43703
7,52,N,Fire density,0,76,96,56377
10,58,N,Fire density,0,66,150,63185
4,46,N,Fire density,0,51,31,49781
12,62,N,Fire density,0,101,307,67063
8,54,N,Fire density,0,56,116,58771
13,64,N,Fire density,0,111,311,69329
17,40,N,Fire density,5,41,33,43538
11,60,N,Fire density,0,91,246,65037
18,42,N,Fire density,5,41,47,45280
23,52,N,Fire density,5,36,47,56500
19,44,N,Fire density,5,46,42,47520
21,48,N,Fire density,5,46,51,52014
20,46,N,Fire density,5,36,27,49745
14,66,N,Fire density,0,78,228,71433
25,56,N,Fire density,5,56,80,60725
24,54,N,Fire density,5,66,125,58648
22,50,N,Fire density,5,43,65,53950
15,68,N,Fire density,0,99,306,73524
28,62,N,Fire density,5,51,119,67238
26,58,N,Fire density,5,71,138,63021
33,40,N,Fire density,10,41,26,43102
35,44,N,Fire density,10,51,69,47684
36,46,N,Fire density,10,31,19,49863
34,42,N,Fire density,10,41,18,45279
37,48,N,Fire density,10,41,43,52193
27,60,N,Fire density,5,86,180,64857
38,50,N,Fire density,10,36,26,54374
39,52,N,Fire density,10,56,67,56543
29,64,N,Fire density,5,127,395,69438
30,66,N,Fire density,5,76,219,71521
31,68,N,Fire density,5,99,303,73945
42,58,N,Fire density,10,57,116,62922
40,54,N,Fire density,10,43,86,58411
43,60,N,Fire density,10,51,122,65169
41,56,N,Fire density,10,76,165,60870
45,64,N,Fire density,10,57,106,69603
46,66,N,Fire density,10,66,172,71412
32,70,N,Fire density,5,211,767,75985
48,70,N,Fire density,10,86,265,75804
49,40,N,Fire density,15,81,26,43582
50,42,N,Fire density,15,81,42,45570
47,68,N,Fire density,10,116,357,73451
44,62,N,Fire density,10,81,206,67165
51,44,N,Fire density,15,101,63,47983
52,46,N,Fire density,15,81,40,49816
53,48,N,Fire density,15,81,25,52285
55,52,N,Fire density,15,101,74,56056
56,54,N,Fire density,15,101,87,58363
54,50,N,Fire density,15,81,35,54331
60,62,N,Fire density,15,101,135,67438
58,58,N,Fire density,15,101,140,62938
59,60,N,Fire density,15,121,168,65029
65,40,N,Fire density,20,81,16,43330
57,56,N,Fire density,15,101,134,60624
62,66,N,Fire density,15,121,312,71522
67,44,N,Fire density,20,81,51,47870
66,42,N,Fire density,20,81,18,45483
16,70,N,Fire density,0,491,2325,76039
68,46,N,Fire density,20,81,36,49625
61,64,N,Fire density,15,121,249,69509
63,68,N,Fire density,15,161,536,73730
71,52,N,Fire density,20,101,76,56625
70,50,N,Fire density,20,101,78,54060
73,56,N,Fire density,20,101,66,60771
72,54,N,Fire density,20,121,173,58827
69,48,N,Fire density,20,101,59,52304
74,58,N,Fire density,20,101,115,62836
76,62,N,Fire density,20,101,186,67172
64,70,N,Fire density,15,221,707,75974
75,60,N,Fire density,20,121,213,64791
82,42,N,Fire density,25,81,25,45780
77,64,N,Fire density,20,101,97,69346
81,40,N,Fire density,25,81,35,43270
83,44,N,Fire density,25,81,26,47670
84,46,N,Fire density,25,81,28,50019
86,50,N,Fire density,25,101,82,54390
80,70,N,Fire density,20,121,291,75906
87,52,N,Fire density,25,81,40,56498
85,48,N,Fire density,25,101,84,52091
78,66,N,Fire density,20,101,112,71573
79,68,N,Fire density,20,161,347,73759
88,54,N,Fire density,25,101,74,58540
91,60,N,Fire density,25,101,93,64917
97,40,N,Fire density,30,81,27,43383
90,58,N,Fire density,25,101,102,63032
89,56,N,Fire density,25,101,135,60600
93,64,N,Fire density,25,101,171,69557
95,68,N,Fire density,25,141,315,74030
96,70,N,Fire density,25,161,489,76377
99,44,N,Fire density,30,81,28,47945
92,62,N,Fire density,25,121,195,67516
101,48,N,Fire density,30,81,67,52011
103,52,N,Fire density,30,101,86,56377
104,54,N,Fire density,30,101,131,58427
98,42,N,Fire density,30,81,48,45889
102,50,N,Fire density,30,81,58,54294
106,58,N,Fire density,30,101,212,62931
100,46,N,Fire density,30,81,43,50194
107,60,N,Fire density,30,121,195,65241
108,62,N,Fire density,30,101,125,67217
105,56,N,Fire density,30,101,60,61026
110,66,N,Fire density,30,101,203,71503
114,42,N,Fire density,35,81,19,45632
94,66,N,Fire density,25,241,1124,71521
115,44,N,Fire density,35,81,21,47892
113,40,N,Fire density,35,81,27,43290
117,48,N,Fire density,35,81,62,52147
116,46,N,Fire density,35,81,31,49727
109,64,N,Fire density,30,121,205,69498
111,68,N,Fire density,30,141,352,73948
112,70,N,Fire density,30,161,507,76169
118,50,N,Fire density,35,101,80,54368
122,58,N,Fire density,35,101,100,62890
119,52,N,Fire density,35,101,103,56629
120,54,N,Fire density,35,101,47,58509
129,40,N,Fire density,40,61,19,43595
121,56,N,Fire density,35,121,133,60938
130,42,N,Fire density,40,76,41,45691
123,60,N,Fire density,35,121,182,64735
125,64,N,Fire density,35,121,185,69473
126,66,N,Fire density,35,121,234,71667
131,44,N,Fire density,40,76,59,47405
132,46,N,Fire density,40,76,42,49599
134,50,N,Fire density,40,61,34,54289
133,48,N,Fire density,40,76,53,51975
124,62,N,Fire density,35,121,175,67283
135,52,N,Fire density,40,76,69,56511
137,56,N,Fire density,40,76,94,60719
136,54,N,Fire density,40,76,81,58579
128,70,N,Fire density,35,161,453,76440
127,68,N,Fire density,35,201,816,73690
138,58,N,Fire density,40,91,100,62850
139,60,N,Fire density,40,106,162,65170
146,42,N,Fire density,45,76,27,45638
145,40,N,Fire density,45,76,20,43237
142,66,N,Fire density,40,106,235,71433
150,50,N,Fire density,45,61,17,54416
147,44,N,Fire density,45,61,30,47954
148,46,N,Fire density,45,61,16,49796
140,62,N,Fire density,40,106,173,67111
141,64,N,Fire density,40,106,276,69349
149,48,N,Fire density,45,76,33,52164
143,68,N,Fire density,40,136,370,73725
151,52,N,Fire density,45,76,42,56401
154,58,N,Fire density,45,76,63,62989
153,56,N,Fire density,45,91,95,60840
155,60,N,Fire density,45,91,107,65088
152,54,N,Fire density,45,91,152,58735
144,70,N,Fire density,40,106,313,76058
162,42,N,Fire density,50,61,11,45655
163,44,N,Fire density,50,61,20,47669
164,46,N,Fire density,50,61,37,49595
158,66,N,Fire density,45,91,148,71562
161,40,N,Fire density,50,76,46,43511
156,62,N,Fire density,45,121,268,67510
159,68,N,Fire density,45,106,248,73705
157,64,N,Fire density,45,121,266,69686
166,50,N,Fire density,50,61,23,54176
165,48,N,Fire density,50,76,45,51836
172,62,N,Fire density,50,76,110,67371
168,54,N,Fire density,50,91,126,58642
169,56,N,Fire density,50,91,163,60689
160,70,N,Fire density,45,151,575,75902
170,58,N,Fire density,50,91,102,63065
167,52,N,Fire density,50,76,64,56659
171,60,N,Fire density,50,106,160,65200
173,64,N,Fire density,50,106,272,69483
175,68,N,Fire density,50,121,338,73754
174,66,N,Fire density,50,136,302,71717
176,70,N,Fire density,50,106,239,75906
178,42,N,Fire density,55,181,28,45363
177,40,N,Fire density,55,181,16,43218
179,44,N,Fire density,55,181,26,47610
184,54,N,Fire density,55,181,70,58804
181,48,N,Fire density,55,241,53,52094
180,46,N,Fire density,55,241,145,49638
182,50,N,Fire density,55,241,157,54069
185,56,N,Fire density,55,241,171,60851
187,60,N,Fire density,55,241,222,65513
186,58,N,Fire density,55,301,468,62918
183,52,N,Fire density,55,241,65,56360
193,40,N,Fire density,60,241,72,43079
190,66,N,Fire density,55,241,340,71684
188,62,N,Fire density,55,301,784,67293
195,44,N,Fire density,60,181,40,47765
194,42,N,Fire density,60,241,49,45275
196,46,N,Fire density,60,241,63,49990
189,64,N,Fire density,55,361,1032,69496
197,48,N,Fire density,60,241,113,52284
198,50,N,Fire density,60,241,56,54161
201,56,N,Fire density,60,241,221,60499
200,54,N,Fire density,60,241,204,58257
204,62,N,Fire density,60,241,323,67104
199,52,N,Fire density,60,241,127,56377
202,58,N,Fire density,60,241,206,62658
209,40,N,Fire density,65,81,13,43137
210,42,N,Fire density,65,81,28,45396
205,64,N,Fire density,60,301,489,69682
211,44,N,Fire density,65,81,9,47755
203,60,N,Fire density,60,361,773,65335
206,66,N,Fire density,60,241,286,71188
213,48,N,Fire density,65,81,81,52308
214,50,N,Fire density,65,101,77,54239
212,46,N,Fire density,65,81,32,49778
215,52,N,Fire density,65,81,22,56488
216,54,N,Fire density,65,101,122,58611
218,58,N,Fire density,65,81,89,62806
217,56,N,Fire density,65,101,105,60662
220,62,N,Fire density,65,101,197,67455
219,60,N,Fire density,65,101,135,65196
226,42,N,Fire density,70,81,35,45814
225,40,N,Fire density,70,81,7,43230
221,64,N,Fire density,65,141,345,69409
227,44,N,Fire density,70,81,83,47726
223,68,N,Fire density,65,181,694,73446
228,46,N,Fire density,70,81,34,49893
