[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
1,40,N,Density & wind,0,31,18,43616
3,44,N,Density & wind,0,31,25,47772
11,60,N,Density & wind,0,61,114,65429
6,50,N,Density & wind,0,41,47,53964
5,48,N,Density & wind,0,36,42,52246
2,42,N,Density & wind,0,51,52,45717
9,56,N,Density & wind,0,76,87,60853
8,54,N,Density & wind,0,106,193,58683
7,52,N,Density & wind,0,31,36,56426
4,46,N,Density & wind,0,43,59,49834
21,48,N,Density & wind,5,36,40,52104
17,40,N,Density & wind,5,36,33,43419
20,46,N,Density & wind,5,51,42,50137
12,62,N,Density & wind,0,106,311,67201
10,58,N,Density & wind,0,81,147,62876
18,42,N,Density & wind,5,46,49,45488
19,44,N,Density & wind,5,46,67,47997
22,50,N,Density & wind,5,56,60,54219
13,64,N,Density & wind,0,96,168,69521
23,52,N,Density & wind,5,57,93,56590
15,68,N,Density & wind,0,162,515,73849
14,66,N,Density & wind,0,141,425,71637
26,58,N,Density & wind,5,71,130,63042
24,54,N,Density & wind,5,61,113,58543
33,40,N,Density & wind,10,36,29,43608
25,56,N,Density & wind,5,71,159,60916
29,64,N,Density & wind,5,113,319,69301
35,44,N,Density & wind,10,31,20,47641
27,60,N,Density & wind,5,46,72,65099
30,66,N,Density & wind,5,106,336,71514
34,42,N,Density & wind,10,51,71,45462
37,48,N,Density & wind,10,31,21,51959
16,70,N,Density & wind,0,261,1147,76126
28,62,N,Density & wind,5,126,421,66989
36,46,N,Density & wind,10,51,57,49931
38,50,N,Density & wind,10,36,25,54175
39,52,N,Density & wind,10,51,77,56423
42,58,N,Density & wind,10,50,99,62808
41,56,N,Density & wind,10,56,82,60764
40,54,N,Density & wind,10,76,139,58730
43,60,N,Density & wind,10,50,114,64851
32,70,N,Density & wind,5,171,482,75760
44,62,N,Density & wind,10,51,128,67373
31,68,N,Density & wind,5,111,323,73786
49,40,N,Density & wind,15,81,32,43305
51,44,N,Density & wind,15,81,45,47711
52,46,N,Density & wind,15,81,49,49940
50,42,N,Density & wind,15,81,30,45625
55,52,N,Density & wind,15,101,96,56284
54,50,N,Density & wind,15,101,63,54436
45,64,N,Density & wind,10,141,382,69460
53,48,N,Density & wind,15,81,37,52231
48,70,N,Density & wind,10,141,441,75939
57,56,N,Density & wind,15,121,199,60987
56,54,N,Density & wind,15,101,98,58604
46,66,N,Density & wind,10,146,520,71454
65,40,N,Density & wind,20,81,12,43356
66,42,N,Density & wind,20,81,11,45621
60,62,N,Density & wind,15,121,180,67325
47,68,N,Density & wind,10,190,855,73747
62,66,N,Density & wind,15,161,326,71479
59,60,N,Density & wind,15,141,287,65205
58,58,N,Density & wind,15,121,190,62651
69,48,N,Density & wind,20,101,51,51969
68,46,N,Density & wind,20,101,94,50107
67,44,N,Density & wind,20,81,67,47856
70,50,N,Density & wind,20,101,101,54168
61,64,N,Density & wind,15,141,317,69591
72,54,N,Density & wind,20,81,47,58614
71,52,N,Density & wind,20,101,69,56426
73,56,N,Density & wind,20,121,114,60552
74,58,N,Density & wind,20,121,152,63275
81,40,N,Density & wind,25,81,24,43555
76,62,N,Density & wind,20,121,119,67159
64,70,N,Density & wind,15,181,594,75873
82,42,N,Density & wind,25,81,25,45324
63,68,N,Density & wind,15,241,853,73598
84,46,N,Density & wind,25,81,33,49893
83,44,N,Density & wind,25,81,61,47454
77,64,N,Density & wind,20,161,359,69361
85,48,N,Density & wind,25,81,44,52046
86,50,N,Density & wind,25,101,90,54328
87,52,N,Density & wind,25,101,123,56379
75,60,N,Density & wind,20,181,406,65115
88,54,N,Density & wind,25,121,104,58426
89,56,N,Density & wind,25,101,76,60956
91,60,N,Density & wind,25,101,120,65158
90,58,N,Density & wind,25,141,209,62922
97,40,N,Density & wind,30,81,15,43468
79,68,N,Density & wind,20,281,807,73734
80,70,N,Density & wind,20,241,735,76095
92,62,N,Density & wind,25,161,365,67426
101,48,N,Density & wind,30,81,45,52221
98,42,N,Density & wind,30,81,43,45473
99,44,N,Density & wind,30,81,37,47454
100,46,N,Density & wind,30,101,77,50001
95,68,N,Density & wind,25,161,322,73761
103,52,N,Density & wind,30,101,77,56490
102,50,N,Density & wind,30,101,76,54278
104,54,N,Density & wind,30,81,57,58475
78,66,N,Density & wind,20,221,637,71913
93,64,N,Density & wind,25,141,293,69552
94,66,N,Density & wind,25,141,295,71459
105,56,N,Density & wind,30,101,127,60756
107,60,N,Density & wind,30,121,127,64774
114,42,N,Density & wind,35,81,15,45512
106,58,N,Density & wind,30,121,167,62686
109,64,N,Density & wind,30,141,252,69593
117,48,N,Density & wind,35,101,96,51804
108,62,N,Density & wind,30,141,293,67627
96,70,N,Density & wind,25,241,949,75806
115,44,N,Density & wind,35,101,71,47736
116,46,N,Density & wind,35,101,68,49900
113,40,N,Density & wind,35,101,47,43428
110,66,N,Density & wind,30,181,440,71274
111,68,N,Density & wind,30,201,578,73801
119,52,N,Density & wind,35,101,128,56546
118,50,N,Density & wind,35,101,92,54458
120,54,N,Density & wind,35,81,54,58512
121,56,N,Density & wind,35,121,111,61065
129,40,N,Density & wind,40,61,18,43771
123,60,N,Density & wind,35,141,324,65100
124,62,N,Density & wind,35,141,173,67324
122,58,N,Density & wind,35,121,124,62703
131,44,N,Density & wind,40,61,25,47659
130,42,N,Density & wind,40,61,38,45497
125,64,N,Density & wind,35,161,325,69429
132,46,N,Density & wind,40,76,42,49931
133,48,N,Density & wind,40,61,26,51964
135,52,N,Density & wind,40,76,44,56372
127,68,N,Density & wind,35,181,507,73611
134,50,N,Density & wind,40,76,77,54133
137,56,N,Density & wind,40,91,134,60565
138,58,N,Density & wind,40,91,150,63044
136,54,N,Density & wind,40,91,61,58546
112,70,N,Density & wind,30,341,1247,75818
139,60,N,Density & wind,40,91,169,64974
126,66,N,Density & wind,35,141,323,71599
147,44,N,Density & wind,45,76,47,47868
145,40,N,Density & wind,45,61,22,43608
128,70,N,Density & wind,35,241,804,75798
146,42,N,Density & wind,45,61,8,45451
149,48,N,Density & wind,45,76,62,52171
148,46,N,Density & wind,45,76,68,50058
140,62,N,Density & wind,40,136,350,67406
141,64,N,Density & wind,40,106,180,69438
151,52,N,Density & wind,45,61,44,56595
153,56,N,Density & wind,45,91,99,60924
152,54,N,Density & wind,45,91,95,58558
143,68,N,Density & wind,40,166,448,73745
155,60,N,Density & wind,45,91,142,64919
144,70,N,Density & wind,40,151,371,75902
154,58,N,Density & wind,45,121,105,62889
157,64,N,Density & wind,45,106,207,69654
156,62,N,Density & wind,45,106,185,66898
161,40,N,Density & wind,50,61,39,43312
163,44,N,Density & wind,50,61,24,47551
162,42,N,Density & wind,50,61,35,45828
150,50,N,Density & wind,45,91,72,54336
164,46,N,Density & wind,50,76,61,49912
142,66,N,Density & wind,40,226,795,71707
165,48,N,Density & wind,50,61,33,52030
158,66,N,Density & wind,45,151,425,71383
159,68,N,Density & wind,45,106,227,73854
166,50,N,Density & wind,50,61,36,54272
167,52,N,Density & wind,50,91,112,56504
169,56,N,Density & wind,50,91,148,60804
170,58,N,Density & wind,50,106,133,62857
168,54,N,Density & wind,50,91,142,58667
177,40,N,Density & wind,55,181,23,43436
172,62,N,Density & wind,50,121,194,66960
160,70,N,Density & wind,45,241,803,76005
171,60,N,Density & wind,50,106,162,65192
174,66,N,Density & wind,50,121,323,71734
173,64,N,Density & wind,50,136,312,69358
178,42,N,Density & wind,55,241,40,45890
179,44,N,Density & wind,55,181,27,47708
180,46,N,Density & wind,55,241,63,49785
182,50,N,Density & wind,55,241,55,54159
175,68,N,Density & wind,50,166,423,73764
181,48,N,Density & wind,55,241,76,51942
183,52,N,Density & wind,55,241,54,56170
184,54,N,Density & wind,55,241,220,58816
176,70,N,Density & wind,50,136,328,76096
