[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
6,50,N,No fighting,0,106,138,54441
4,46,N,No fighting,0,136,74,49868
1,40,N,No fighting,0,46,39,43305
5,48,N,No fighting,0,146,128,51776
2,42,N,No fighting,0,56,46,45573
3,44,N,No fighting,0,246,181,47921
8,54,N,No fighting,0,206,620,58357
7,52,N,No fighting,0,211,392,56441
9,56,N,No fighting,0,266,375,60675
17,40,N,No fighting,5,61,42,43418
18,42,N,No fighting,5,56,34,45544
19,44,N,No fighting,5,66,33,47707
20,46,N,No fighting,5,56,33,50030
22,50,N,No fighting,5,96,52,54025
21,48,N,No fighting,5,116,87,51954
23,52,N,No fighting,5,101,119,56503
24,54,N,No fighting,5,166,165,58178
25,56,N,No fighting,5,366,564,60916
26,58,N,No fighting,5,341,661,62996
10,58,N,No fighting,0,3481,24500,63133
27,60,N,No fighting,5,3021,21579,65083
33,40,N,No fighting,10,91,40,43345
11,60,N,No fighting,0,2571,44018,65184
34,42,N,No fighting,10,31,11,45497
35,44,N,No fighting,10,66,58,47670
36,46,N,No fighting,10,61,17,49868
14,66,N,No fighting,0,1856,67701,71389
13,64,N,No fighting,0,2011,64908,69514
37,48,N,No fighting,10,211,168,52074
12,62,N,No fighting,0,2531,57256,67028
38,50,N,No fighting,10,171,307,54294
39,52,N,No fighting,10,121,105,56306
40,54,N,No fighting,10,246,394,58728
28,62,N,No fighting,5,2856,50502,67261
16,70,N,No fighting,0,1711,74659,75976
43,60,N,No fighting,10,946,4411,64953
42,58,N,No fighting,10,1006,2984,62838
41,56,N,No fighting,10,976,3418,60864
29,64,N,No fighting,5,2711,62466,69265
49,40,N,No fighting,15,101,17,43523
50,42,N,No fighting,15,121,20,45367
30,66,N,No fighting,5,1926,67043,71751
31,68,N,No fighting,5,1756,71314,73850
51,44,N,No fighting,15,101,28,47645
52,46,N,No fighting,15,81,28,50103
53,48,N,No fighting,15,221,109,51860
54,50,N,No fighting,15,261,144,54160
55,52,N,No fighting,15,221,158,56292
56,54,N,No fighting,15,401,486,58691
57,56,N,No fighting,15,541,720,60681
15,68,N,No fighting,0,1726,71675,74021
58,58,N,No fighting,15,981,3004,62918
44,62,N,No fighting,10,4231,47082,67364
65,40,N,No fighting,20,141,57,43173
32,70,N,No fighting,5,1726,74184,76088
66,42,N,No fighting,20,101,33,45530
67,44,N,No fighting,20,121,58,47561
68,46,N,No fighting,20,121,84,49925
69,48,N,No fighting,20,161,142,52139
45,64,N,No fighting,10,3311,61019,69441
70,50,N,No fighting,20,241,251,54338
71,52,N,No fighting,20,261,253,56340
72,54,N,No fighting,20,221,363,58657
46,66,N,No fighting,10,2041,67673,71778
73,56,N,No fighting,20,461,1247,61014
74,58,N,No fighting,20,441,1306,62975
47,68,N,No fighting,10,1996,70676,73912
59,60,N,No fighting,15,4121,29135,65290
48,70,N,No fighting,10,1846,74094,76168
75,60,N,No fighting,20,861,2246,65164
81,40,N,No fighting,25,141,80,43474
82,42,N,No fighting,25,141,45,45677
83,44,N,No fighting,25,121,21,47666
84,46,N,No fighting,25,121,44,49907
85,48,N,No fighting,25,141,101,52036
86,50,N,No fighting,25,181,87,53876
