[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
8,54,N,Uniform,0,46,56,58652
7,52,N,Uniform,0,51,64,56556
4,46,N,Uniform,0,41,52,49804
1,40,N,Uniform,0,41,19,43360
3,44,N,Uniform,0,56,72,47515
5,48,N,Uniform,0,46,45,51976
2,42,N,Uniform,0,56,62,45545
17,40,N,Uniform,5,31,6,43263
12,62,N,Uniform,0,64,121,67513
18,42,N,Uniform,5,36,23,45461
9,56,N,Uniform,0,81,183,60776
10,58,N,Uniform,0,113,399,63317
6,50,N,Uniform,0,51,86,54017
19,44,N,Uniform,5,46,66,47552
14,66,N,Uniform,0,113,328,71668
22,50,N,Uniform,5,51,62,54167
21,48,N,Uniform,5,36,27,52060
11,60,N,Uniform,0,81,194,65524
13,64,N,Uniform,0,136,404,69383
20,46,N,Uniform,5,51,79,49513
26,58,N,Uniform,5,61,111,62884
27,60,N,Uniform,5,57,113,65292
24,54,N,Uniform,5,64,107,58512
28,62,N,Uniform,5,50,105,67582
25,56,N,Uniform,5,76,147,60754
23,52,N,Uniform,5,43,55,56446
34,42,N,Uniform,10,31,8,45854
33,40,N,Uniform,10,36,37,43186
36,46,N,Uniform,10,36,44,49931
37,48,N,Uniform,10,36,45,51783
30,66,N,Uniform,5,51,113,71662
29,64,N,Uniform,5,101,349,69443
35,44,N,Uniform,10,51,59,47920
31,68,N,Uniform,5,111,352,73753
40,54,N,Uniform,10,51,47,58358
38,50,N,Uniform,10,41,40,54251
39,52,N,Uniform,10,61,105,56777
42,58,N,Uniform,10,56,56,62876
15,68,N,Uniform,0,236,894,73755
41,56,N,Uniform,10,43,55,60474
43,60,N,Uniform,10,51,112,64887
49,40,N,Uniform,15,81,33,43298
50,42,N,Uniform,15,81,17,45549
44,62,N,Uniform,10,116,353,67277
52,46,N,Uniform,15,81,31,49814
32,70,N,Uniform,5,196,747,76209
51,44,N,Uniform,15,81,48,47523
47,68,N,Uniform,10,86,275,74058
54,50,N,Uniform,15,81,41,54289
46,66,N,Uniform,10,96,254,71615
53,48,N,Uniform,15,81,57,51768
55,52,N,Uniform,15,101,70,56391
48,70,N,Uniform,10,99,324,76103
45,64,N,Uniform,10,106,351,69873
56,54,N,Uniform,15,101,106,58687
57,56,N,Uniform,15,121,173,60867
59,60,N,Uniform,15,101,165,64845
65,40,N,Uniform,20,81,49,43482
