[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
2,42,N,No fighting,0,31,12,45719
7,52,N,No fighting,0,121,158,56500
1,40,N,No fighting,0,91,42,43409
4,46,N,No fighting,0,96,46,49785
3,44,N,No fighting,0,131,132,47668
5,48,N,No fighting,0,111,170,52059
9,56,N,No fighting,0,306,532,60861
6,50,N,No fighting,0,271,325,54191
8,54,N,No fighting,0,416,652,58516
10,58,N,No fighting,0,486,1065,62840
11,60,N,No fighting,0,3961,32941,64960
13,64,N,No fighting,0,1851,63458,69727
12,62,N,No fighting,0,2481,59483,67272
14,66,N,No fighting,0,1861,68130,71588
17,72,N,No fighting,0,1666,76949,77998
16,70,N,No fighting,0,1701,74618,76059
27,40,N,No fighting,5,51,14,43612
28,42,N,No fighting,5,76,64,45565
29,44,N,No fighting,5,111,39,47982
30,46,N,No fighting,5,96,78,49754
31,48,N,No fighting,5,91,89,51566
18,74,N,No fighting,0,1661,79709,80400
19,76,N,No fighting,0,1641,81961,82353
32,50,N,No fighting,5,176,251,54275
33,52,N,No fighting,5,271,442,56648
34,54,N,No fighting,5,121,129,58883
36,58,N,No fighting,5,426,1113,62784
22,82,N,No fighting,0,1641,88643,88763
20,78,N,No fighting,0,1641,84248,84542
21,80,N,No fighting,0,1641,86341,86532
35,56,N,No fighting,5,1341,1927,60766
15,68,N,No fighting,0,1711,71782,73921
23,84,N,No fighting,0,1641,91020,91103
37,60,N,No fighting,5,4916,26237,65091
24,86,N,No fighting,0,1641,93036,93077
26,90,N,No fighting,0,1641,97406,97420
39,64,N,No fighting,5,2141,63209,69494
25,88,N,No fighting,0,1646,95141,95160
40,66,N,No fighting,5,1831,67931,71794
38,62,N,No fighting,5,3736,54933,67426
41,68,N,No fighting,5,1741,71309,73784
53,40,N,No fighting,10,101,36,43203
54,42,N,No fighting,10,41,17,45762
42,70,N,No fighting,5,1876,74343,76166
55,44,N,No fighting,10,131,69,47639
43,72,N,No fighting,5,1666,76967,78175
56,46,N,No fighting,10,41,32,49753
57,48,N,No fighting,10,96,68,52095
58,50,N,No fighting,10,251,248,54496
59,52,N,No fighting,10,191,263,56545
61,56,N,No fighting,10,371,635,60730
60,54,N,No fighting,10,1156,1543,58581
62,58,N,No fighting,10,1036,3937,62994
63,60,N,No fighting,10,1811,5853,64799
45,76,N,No fighting,5,1646,82055,82655
46,78,N,No fighting,5,1641,84428,84783
47,80,N,No fighting,5,1641,86510,86749
48,82,N,No fighting,5,1641,88846,89046
49,84,N,No fighting,5,1641,91070,91176
51,88,N,No fighting,5,1641,95314,95354
50,86,N,No fighting,5,1641,93321,93391
44,74,N,No fighting,5,1666,79497,80316
64,62,N,No fighting,10,2956,54483,67352
52,90,N,No fighting,5,1641,97354,97379
65,64,N,No fighting,10,2381,60306,69394
66,66,N,No fighting,10,1986,66188,71544
67,68,N,No fighting,10,1856,70196,73646
79,40,N,No fighting,15,101,17,43377
68,70,N,No fighting,10,1736,73252,75804
80,42,N,No fighting,15,121,35,45625
81,44,N,No fighting,15,101,45,47812
82,46,N,No fighting,15,221,146,49887
83,48,N,No fighting,15,121,62,51998
84,50,N,No fighting,15,121,60,54315
86,54,N,No fighting,15,161,164,58535
85,52,N,No fighting,15,161,198,56352
87,56,N,No fighting,15,861,2289,60680
69,72,N,No fighting,10,1691,76657,78211
88,58,N,No fighting,15,1161,3852,62736
70,74,N,No fighting,10,1676,79030,80163
71,76,N,No fighting,10,1651,81651,82385
72,78,N,No fighting,10,1666,84070,84555
73,80,N,No fighting,10,1656,86426,86815
89,60,N,No fighting,15,1961,12015,64954
75,84,N,No fighting,10,1646,90845,90991
76,86,N,No fighting,10,1646,93239,93349
77,88,N,No fighting,10,1646,95322,95381
78,90,N,No fighting,10,1641,97569,97613
90,62,N,No fighting,15,2241,58477,67402
91,64,N,No fighting,15,2061,62934,69463
92,66,N,No fighting,15,1881,67899,71507
93,68,N,No fighting,15,1801,71151,73733
74,82,N,No fighting,10,1646,88540,88810
94,70,N,No fighting,15,1741,74413,76020
106,42,N,No fighting,20,101,44,45398
107,44,N,No fighting,20,141,85,47525
105,40,N,No fighting,20,101,14,43344
108,46,N,No fighting,20,121,38,49759
110,50,N,No fighting,20,181,156,54325
111,52,N,No fighting,20,401,753,56529
95,72,N,No fighting,15,1721,76345,77709
109,48,N,No fighting,20,161,87,52052
112,54,N,No fighting,20,441,597,58485
113,56,N,No fighting,20,201,109,60783
96,74,N,No fighting,15,1701,79570,80370
115,60,N,No fighting,20,2481,13356,65429
97,76,N,No fighting,15,1701,81882,82403
98,78,N,No fighting,15,1701,84399,84776
99,80,N,No fighting,15,1701,86648,86872
100,82,N,No fighting,15,1701,88624,88806
101,84,N,No fighting,15,1701,91205,91321
116,62,N,No fighting,20,2481,57806,67331
117,64,N,No fighting,20,2301,60343,69254
102,86,N,No fighting,15,1701,93445,93503
103,88,N,No fighting,15,1701,95206,95243
104,90,N,No fighting,15,1701,97462,97485
118,66,N,No fighting,20,1901,67551,71763
119,68,N,No fighting,20,1801,71058,73784
120,70,N,No fighting,20,1821,74206,75978
131,40,N,No fighting,25,121,33,43098
132,42,N,No fighting,25,101,20,45617
133,44,N,No fighting,25,101,31,47515
134,46,N,No fighting,25,141,98,50108
121,72,N,No fighting,20,1761,76713,78021
135,48,N,No fighting,25,241,190,52202
137,52,N,No fighting,25,121,97,56311
136,50,N,No fighting,25,161,135,54130
114,58,N,No fighting,20,2221,5102,63018
122,74,N,No fighting,20,1721,78987,79916
123,76,N,No fighting,20,1701,81897,82524
138,54,N,No fighting,25,401,548,58569
124,78,N,No fighting,20,1701,84353,84765
139,56,N,No fighting,25,1101,2292,60825
125,80,N,No fighting,20,1701,86579,86859
126,82,N,No fighting,20,1701,88852,89043
127,84,N,No fighting,20,1701,91023,91113
141,60,N,No fighting,25,2681,17363,65198
128,86,N,No fighting,20,1701,93084,93162
129,88,N,No fighting,20,1701,95399,95436
142,62,N,No fighting,25,2141,40696,67283
140,58,N,No fighting,25,1061,2706,63108
144,66,N,No fighting,25,1941,65279,71629
143,64,N,No fighting,25,2041,61748,69498
146,70,N,No fighting,25,1781,73949,75983
147,72,N,No fighting,25,1781,76659,78069
157,40,N,No fighting,30,121,42,43178
130,90,N,No fighting,20,1701,97561,97586
158,42,N,No fighting,30,121,25,45802
159,44,N,No fighting,30,141,82,47951
145,68,N,No fighting,25,1881,71043,74077
160,46,N,No fighting,30,241,214,49893
161,48,N,No fighting,30,241,158,52028
162,50,N,No fighting,30,161,88,54396
163,52,N,No fighting,30,161,245,56671
165,56,N,No fighting,30,321,539,60903
164,54,N,No fighting,30,441,549,58589
166,58,N,No fighting,30,521,1078,62993
148,74,N,No fighting,25,1721,79252,80200
150,78,N,No fighting,25,1721,84007,84445
149,76,N,No fighting,25,1721,82050,82709
151,80,N,No fighting,25,1701,86532,86839
167,60,N,No fighting,30,2661,16857,65267
152,82,N,No fighting,25,1701,88824,89021
168,62,N,No fighting,30,3261,38469,67102
169,64,N,No fighting,30,2721,60538,69364
154,86,N,No fighting,25,1701,93175,93237
170,66,N,No fighting,30,2381,66227,71621
155,88,N,No fighting,25,1701,95438,95494
156,90,N,No fighting,25,1701,97874,97912
171,68,N,No fighting,30,1981,70410,73658
173,72,N,No fighting,30,1881,76384,77975
183,40,N,No fighting,35,121,56,43309
184,42,N,No fighting,35,81,19,45538
185,44,N,No fighting,35,121,40,47431
172,70,N,No fighting,30,1901,73394,75906
186,46,N,No fighting,35,181,49,49930
187,48,N,No fighting,35,101,79,51844
188,50,N,No fighting,35,341,189,54228
190,54,N,No fighting,35,121,80,58503
189,52,N,No fighting,35,201,185,56155
191,56,N,No fighting,35,181,232,60908
192,58,N,No fighting,35,541,811,62739
174,74,N,No fighting,30,1741,79304,80347
193,60,N,No fighting,35,1281,6534,64935
175,76,N,No fighting,30,1741,81861,82622
153,84,N,No fighting,25,1701,90756,90898
177,80,N,No fighting,30,1721,86415,86771
176,78,N,No fighting,30,1721,83980,84521
178,82,N,No fighting,30,1701,88662,88903
194,62,N,No fighting,35,4981,40916,67358
179,84,N,No fighting,30,1681,91155,91301
181,88,N,No fighting,30,1701,95361,95415
196,66,N,No fighting,35,2621,65498,71503
182,90,N,No fighting,30,1701,97615,97654
195,64,N,No fighting,35,3021,58718,69356
180,86,N,No fighting,30,1701,93198,93292
197,68,N,No fighting,35,1941,70056,73927
209,40,N,No fighting,40,106,52,43542
210,42,N,No fighting,40,76,29,45412
211,44,N,No fighting,40,121,71,47430
212,46,N,No fighting,40,166,82,50092
213,48,N,No fighting,40,106,77,52069
214,50,N,No fighting,40,196,212,54165
215,52,N,No fighting,40,211,302,56526
216,54,N,No fighting,40,91,96,58530
217,56,N,No fighting,40,151,276,60810
218,58,N,No fighting,40,181,198,62733
199,72,N,No fighting,35,1861,76355,78022
219,60,N,No fighting,40,1246,4408,65065
220,62,N,No fighting,40,1636,8659,67085
200,74,N,No fighting,35,1781,78905,80165
201,76,N,No fighting,35,1761,81538,82430
202,78,N,No fighting,35,1721,83923,84480
203,80,N,No fighting,35,1721,86330,86692
204,82,N,No fighting,35,1721,88506,88761
205,84,N,No fighting,35,1701,91047,91214
221,64,N,No fighting,40,4276,55406,69368
206,86,N,No fighting,35,1701,93382,93477
222,66,N,No fighting,40,3031,63403,71499
198,70,N,No fighting,35,1901,72826,75563
207,88,N,No fighting,35,1701,95468,95541
208,90,N,No fighting,35,1701,97448,97491
223,68,N,No fighting,40,2086,68969,73908
235,40,N,No fighting,45,91,47,43344
236,42,N,No fighting,45,151,49,45353
237,44,N,No fighting,45,91,40,47749
224,70,N,No fighting,40,1951,72737,75992
238,46,N,No fighting,45,91,35,49643
239,48,N,No fighting,45,106,64,52015
240,50,N,No fighting,45,136,83,54292
241,52,N,No fighting,45,121,57,56623
242,54,N,No fighting,45,166,177,58557
243,56,N,No fighting,45,226,356,60983
245,60,N,No fighting,45,676,1457,65069
244,58,N,No fighting,45,781,2795,62822
225,72,N,No fighting,40,1906,75858,78007
226,74,N,No fighting,40,1831,78474,80163
246,62,N,No fighting,45,1351,6014,67337
228,78,N,No fighting,40,1756,83845,84607
227,76,N,No fighting,40,1801,81357,82519
229,80,N,No fighting,40,1756,86437,86919
230,82,N,No fighting,40,1711,88730,89049
231,84,N,No fighting,40,1696,90783,91022
247,64,N,No fighting,45,2251,30916,69347
248,66,N,No fighting,45,1636,35139,71604
249,68,N,No fighting,45,2221,67770,73729
233,88,N,No fighting,40,1681,95525,95603
234,90,N,No fighting,40,1681,97483,97552
250,70,N,No fighting,45,2086,72130,75909
261,40,N,No fighting,50,76,19,43265
262,42,N,No fighting,50,106,30,45479
263,44,N,No fighting,50,91,33,47641
264,46,N,No fighting,50,76,32,49613
265,48,N,No fighting,50,166,145,52287
266,50,N,No fighting,50,136,111,54051
251,72,N,No fighting,45,1966,75640,78168
267,52,N,No fighting,50,151,189,56297
268,54,N,No fighting,50,271,287,58755
252,74,N,No fighting,45,1906,78337,80024
269,56,N,No fighting,50,316,259,60543
270,58,N,No fighting,50,181,265,62901
271,60,N,No fighting,50,601,1903,64895
272,62,N,No fighting,50,1156,3957,67290
253,76,N,No fighting,45,1831,81259,82496
254,78,N,No fighting,45,1801,83848,84633
255,80,N,No fighting,45,1741,86353,86972
273,64,N,No fighting,50,2176,29782,69229
257,84,N,No fighting,45,1726,90900,91215
256,82,N,No fighting,45,1741,88642,89038
