[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
3,44,N,No fighting,0,56,45,47788
1,40,N,No fighting,0,61,52,43454
5,48,N,No fighting,0,76,92,52283
2,42,N,No fighting,0,46,22,45642
4,46,N,No fighting,0,121,172,50162
6,50,N,No fighting,0,181,239,54626
7,52,N,No fighting,0,126,161,56656
8,54,N,No fighting,0,951,1374,58414
9,56,N,No fighting,0,1226,2591,61302
10,58,N,No fighting,0,1706,5396,62907
11,60,N,No fighting,0,2321,33871,65132
14,66,N,No fighting,0,1816,69404,72085
13,64,N,No fighting,0,1996,64899,69766
15,68,N,No fighting,0,1761,71345,73677
18,74,N,No fighting,0,1661,79423,80154
17,72,N,No fighting,0,1716,77626,78513
27,40,N,No fighting,5,81,51,43246
28,42,N,No fighting,5,91,80,45774
29,44,N,No fighting,5,46,35,47856
30,46,N,No fighting,5,91,58,50097
31,48,N,No fighting,5,96,92,52465
32,50,N,No fighting,5,126,139,54272
33,52,N,No fighting,5,296,391,56483
35,56,N,No fighting,5,176,186,60783
34,54,N,No fighting,5,326,662,58546
21,80,N,No fighting,0,1641,86655,86866
12,62,N,No fighting,0,2631,58709,67046
36,58,N,No fighting,5,656,1569,62987
22,82,N,No fighting,0,1641,88896,89006
19,76,N,No fighting,0,1656,81958,82397
20,78,N,No fighting,0,1651,84106,84397
16,70,N,No fighting,0,1661,74280,75648
37,60,N,No fighting,5,3346,25670,65309
23,84,N,No fighting,0,1646,91149,91211
24,86,N,No fighting,0,1641,93383,93426
38,62,N,No fighting,5,2951,57200,67360
25,88,N,No fighting,0,1646,95333,95347
39,64,N,No fighting,5,2071,63678,69248
26,90,N,No fighting,0,1641,97633,97646
40,66,N,No fighting,5,1936,67289,71480
41,68,N,No fighting,5,1781,71125,73771
53,40,N,No fighting,10,51,49,43376
54,42,N,No fighting,10,36,17,45485
42,70,N,No fighting,5,1731,74011,75778
55,44,N,No fighting,10,111,76,47771
56,46,N,No fighting,10,46,29,49891
57,48,N,No fighting,10,176,201,52243
58,50,N,No fighting,10,91,100,54355
59,52,N,No fighting,10,146,172,56429
60,54,N,No fighting,10,146,209,58205
43,72,N,No fighting,5,1671,76689,78030
62,58,N,No fighting,10,736,2270,62991
61,56,N,No fighting,10,611,979,60655
45,76,N,No fighting,5,1651,81793,82390
46,78,N,No fighting,5,1651,83978,84369
63,60,N,No fighting,10,2401,19612,65163
47,80,N,No fighting,5,1651,86386,86653
48,82,N,No fighting,5,1641,88743,88942
49,84,N,No fighting,5,1646,90962,91064
50,86,N,No fighting,5,1641,93228,93301
64,62,N,No fighting,10,2576,51357,67657
51,88,N,No fighting,5,1641,95455,95498
52,90,N,No fighting,5,1651,97699,97713
65,64,N,No fighting,10,2431,60490,69201
66,66,N,No fighting,10,2136,66384,71417
67,68,N,No fighting,10,1871,70742,73963
68,70,N,No fighting,10,1796,73803,75954
69,72,N,No fighting,10,1721,76559,78148
79,40,N,No fighting,15,81,13,43254
81,44,N,No fighting,15,201,127,47757
80,42,N,No fighting,15,81,8,45345
44,74,N,No fighting,5,1666,79447,80289
82,46,N,No fighting,15,141,72,49948
83,48,N,No fighting,15,101,65,51980
85,52,N,No fighting,15,181,156,56610
86,54,N,No fighting,15,241,228,58736
87,56,N,No fighting,15,261,350,60442
88,58,N,No fighting,15,701,1226,62842
84,50,N,No fighting,15,161,117,54230
71,76,N,No fighting,10,1651,81666,82390
70,74,N,No fighting,10,1671,79201,80215
72,78,N,No fighting,10,1641,84064,84652
73,80,N,No fighting,10,1696,86279,86619
89,60,N,No fighting,15,2321,14104,65047
76,86,N,No fighting,10,1641,93121,93217
75,84,N,No fighting,10,1651,91030,91174
74,82,N,No fighting,10,1641,88538,88757
77,88,N,No fighting,10,1641,95580,95628
78,90,N,No fighting,10,1641,97576,97615
90,62,N,No fighting,15,2361,56223,67230
92,66,N,No fighting,15,1921,68055,71707
93,68,N,No fighting,15,1801,71544,73995
94,70,N,No fighting,15,1741,74052,75684
105,40,N,No fighting,20,101,40,43334
106,42,N,No fighting,20,101,47,45413
107,44,N,No fighting,20,101,27,48024
95,72,N,No fighting,15,1741,76826,78191
108,46,N,No fighting,20,201,205,49926
109,48,N,No fighting,20,181,149,52051
96,74,N,No fighting,15,1701,79341,80180
110,50,N,No fighting,20,141,111,54176
111,52,N,No fighting,20,161,185,56604
112,54,N,No fighting,20,141,105,58808
113,56,N,No fighting,20,421,1042,60616
97,76,N,No fighting,15,1701,82159,82713
114,58,N,No fighting,20,1761,5559,63364
98,78,N,No fighting,15,1701,84561,84931
115,60,N,No fighting,20,1341,8691,65130
99,80,N,No fighting,15,1701,86316,86576
100,82,N,No fighting,15,1701,88764,88927
101,84,N,No fighting,15,1701,91000,91113
102,86,N,No fighting,15,1701,93290,93375
116,62,N,No fighting,20,2661,55972,67401
91,64,N,No fighting,15,2041,62856,69542
117,64,N,No fighting,20,2581,62751,69673
118,66,N,No fighting,20,1801,68000,71661
103,88,N,No fighting,15,1701,95381,95418
119,68,N,No fighting,20,1881,70672,73689
120,70,N,No fighting,20,1801,74227,75993
131,40,N,No fighting,25,121,63,43223
104,90,N,No fighting,15,1701,97568,97587
132,42,N,No fighting,25,101,24,45619
133,44,N,No fighting,25,81,25,47717
134,46,N,No fighting,25,161,129,49758
135,48,N,No fighting,25,141,82,52069
136,50,N,No fighting,25,121,51,54277
137,52,N,No fighting,25,121,49,56712
139,56,N,No fighting,25,181,166,60453
138,54,N,No fighting,25,501,593,58844
121,72,N,No fighting,20,1761,76511,77939
140,58,N,No fighting,25,1381,2777,62817
141,60,N,No fighting,25,2641,23058,65011
122,74,N,No fighting,20,1721,79477,80370
123,76,N,No fighting,20,1701,81742,82386
124,78,N,No fighting,20,1701,84214,84636
125,80,N,No fighting,20,1701,86547,86822
142,62,N,No fighting,25,2801,54633,67385
127,84,N,No fighting,20,1701,91007,91120
128,86,N,No fighting,20,1701,93247,93312
143,64,N,No fighting,25,2401,63046,69350
129,88,N,No fighting,20,1701,95235,95284
130,90,N,No fighting,20,1701,97617,97639
144,66,N,No fighting,25,1941,66855,71638
145,68,N,No fighting,25,2001,70505,73699
146,70,N,No fighting,25,1801,74068,75873
157,40,N,No fighting,30,81,7,43348
158,42,N,No fighting,30,81,10,45337
159,44,N,No fighting,30,141,51,47539
160,46,N,No fighting,30,121,56,49727
161,48,N,No fighting,30,121,34,52018
147,72,N,No fighting,25,1821,76596,77989
162,50,N,No fighting,30,161,84,54397
163,52,N,No fighting,30,201,172,56527
164,54,N,No fighting,30,241,296,58484
165,56,N,No fighting,30,561,789,61022
148,74,N,No fighting,25,1741,79712,80631
166,58,N,No fighting,30,1041,2155,62992
167,60,N,No fighting,30,1541,7165,64867
126,82,N,No fighting,20,1701,88859,89022
151,80,N,No fighting,25,1701,86560,86886
150,78,N,No fighting,25,1741,84159,84603
149,76,N,No fighting,25,1721,81890,82577
168,62,N,No fighting,30,2641,33563,67317
152,82,N,No fighting,25,1701,88679,88888
169,64,N,No fighting,30,3141,60012,69305
153,84,N,No fighting,25,1701,90909,91046
154,86,N,No fighting,25,1701,93267,93347
155,88,N,No fighting,25,1701,95611,95654
170,66,N,No fighting,30,2121,66664,71642
156,90,N,No fighting,25,1701,97588,97612
172,70,N,No fighting,30,1941,73458,75949
183,40,N,No fighting,35,101,27,43534
184,42,N,No fighting,35,141,71,45760
185,44,N,No fighting,35,121,31,47619
186,46,N,No fighting,35,121,78,49891
173,72,N,No fighting,30,1841,76594,78115
187,48,N,No fighting,35,141,131,52402
188,50,N,No fighting,35,141,63,54102
189,52,N,No fighting,35,161,155,56552
190,54,N,No fighting,35,201,247,58449
191,56,N,No fighting,35,341,629,60914
175,76,N,No fighting,30,1721,81967,82685
174,74,N,No fighting,30,1821,79420,80405
192,58,N,No fighting,35,1381,2756,62760
176,78,N,No fighting,30,1721,84221,84751
193,60,N,No fighting,35,2001,9695,64857
194,62,N,No fighting,35,2001,18745,67042
177,80,N,No fighting,30,1721,86602,86925
178,82,N,No fighting,30,1701,88633,88833
179,84,N,No fighting,30,1701,91104,91265
180,86,N,No fighting,30,1701,93322,93420
181,88,N,No fighting,30,1701,95445,95512
195,64,N,No fighting,35,2501,58609,69337
171,68,N,No fighting,30,1981,70341,73545
196,66,N,No fighting,35,2241,65422,71340
182,90,N,No fighting,30,1701,97561,97608
198,70,N,No fighting,35,2041,73610,76033
197,68,N,No fighting,35,1961,69762,73662
209,40,N,No fighting,40,121,39,43235
210,42,N,No fighting,40,136,107,45600
211,44,N,No fighting,40,166,89,47763
212,46,N,No fighting,40,91,99,50145
213,48,N,No fighting,40,196,67,51805
214,50,N,No fighting,40,181,177,54268
215,52,N,No fighting,40,181,189,56840
216,54,N,No fighting,40,91,52,58847
217,56,N,No fighting,40,406,334,60552
218,58,N,No fighting,40,226,366,62985
199,72,N,No fighting,35,1961,76324,78095
219,60,N,No fighting,40,1711,9903,65324
200,74,N,No fighting,35,1781,79078,80269
221,64,N,No fighting,40,2296,29625,69546
203,80,N,No fighting,35,1741,86496,86917
201,76,N,No fighting,35,1781,81642,82489
220,62,N,No fighting,40,2251,33989,67352
202,78,N,No fighting,35,1761,84086,84639
204,82,N,No fighting,35,1701,88586,88876
222,66,N,No fighting,40,2476,61297,71986
207,88,N,No fighting,35,1701,95230,95300
205,84,N,No fighting,35,1701,91250,91402
208,90,N,No fighting,35,1701,97619,97646
223,68,N,No fighting,40,2296,67435,73755
224,70,N,No fighting,40,1876,72707,76014
235,40,N,No fighting,45,136,30,43158
236,42,N,No fighting,45,91,64,45623
237,44,N,No fighting,45,91,38,47871
225,72,N,No fighting,40,1936,75972,78279
238,46,N,No fighting,45,76,15,50049
239,48,N,No fighting,45,211,152,51987
240,50,N,No fighting,45,166,94,53953
241,52,N,No fighting,45,151,203,56390
243,56,N,No fighting,45,166,152,60718
242,54,N,No fighting,45,211,282,58784
244,58,N,No fighting,45,121,113,62951
226,74,N,No fighting,40,1861,79058,80539
246,62,N,No fighting,45,181,299,67335
227,76,N,No fighting,40,1786,81468,82514
245,60,N,No fighting,45,1606,3634,65236
228,78,N,No fighting,40,1771,83682,84425
229,80,N,No fighting,40,1726,86328,86866
230,82,N,No fighting,40,1711,88559,88886
247,64,N,No fighting,45,2566,37515,69622
231,84,N,No fighting,40,1696,90849,91121
206,86,N,No fighting,35,1701,92980,93081
248,66,N,No fighting,45,3886,62260,71265
232,86,N,No fighting,40,1681,93120,93297
250,70,N,No fighting,45,2056,71859,75948
234,90,N,No fighting,40,1681,97614,97664
249,68,N,No fighting,45,2566,68698,73776
251,72,N,No fighting,45,2011,75346,77971
261,40,N,No fighting,50,76,18,43096
233,88,N,No fighting,40,1681,95329,95417
263,44,N,No fighting,50,76,38,47834
262,42,N,No fighting,50,91,27,45443
264,46,N,No fighting,50,76,25,49945
267,52,N,No fighting,50,76,18,56184
266,50,N,No fighting,50,226,132,54030
265,48,N,No fighting,50,91,43,52226
268,54,N,No fighting,50,166,153,58464
270,58,N,No fighting,50,121,93,63047
269,56,N,No fighting,50,106,81,60670
271,60,N,No fighting,50,1096,3615,64998
252,74,N,No fighting,45,2056,77991,79839
272,62,N,No fighting,50,1921,14539,67268
253,76,N,No fighting,45,1831,81256,82522
273,64,N,No fighting,50,1711,23186,69619
254,78,N,No fighting,45,1771,84039,84911
255,80,N,No fighting,45,1786,85969,86566
257,84,N,No fighting,45,1711,90923,91205
275,68,N,No fighting,50,2461,49766,73897
274,66,N,No fighting,50,3586,59386,71650
259,88,N,No fighting,45,1681,95449,95546
258,86,N,No fighting,45,1696,93151,93308
277,72,N,No fighting,50,2026,75339,78172
260,90,N,No fighting,45,1681,97572,97627
287,40,N,No fighting,55,241,25,43515
276,70,N,No fighting,50,2416,72151,75835
288,42,N,No fighting,55,241,63,45207
289,44,N,No fighting,55,241,96,47768
290,46,N,No fighting,55,301,109,49792
291,48,N,No fighting,55,301,126,52035
293,52,N,No fighting,55,301,84,56514
278,74,N,No fighting,50,2071,78527,80440
292,50,N,No fighting,55,601,531,54173
295,56,N,No fighting,55,361,234,60994
294,54,N,No fighting,55,481,362,58671
297,60,N,No fighting,55,541,634,65016
279,76,N,No fighting,50,1891,81278,82488
296,58,N,No fighting,55,1381,3788,63216
280,78,N,No fighting,50,1876,83475,84470
281,80,N,No fighting,50,1786,86142,86849
256,82,N,No fighting,45,1756,88600,88932
282,82,N,No fighting,50,1786,88329,88864
283,84,N,No fighting,50,1726,90998,91273
284,86,N,No fighting,50,1726,93205,93409
285,88,N,No fighting,50,1711,95470,95602
286,90,N,No fighting,50,1711,97479,97566
298,62,N,No fighting,55,3421,53107,67412
299,64,N,No fighting,55,2341,61930,69557
300,66,N,No fighting,55,2161,65873,71580
301,68,N,No fighting,55,1861,71274,74065
313,40,N,No fighting,60,301,26,43617
314,42,N,No fighting,60,241,25,45551
315,44,N,No fighting,60,301,49,47548
316,46,N,No fighting,60,241,29,50054
317,48,N,No fighting,60,241,95,52004
318,50,N,No fighting,60,301,76,54519
319,52,N,No fighting,60,481,395,56203
302,70,N,No fighting,55,1741,73700,75907
320,54,N,No fighting,60,301,101,58448
321,56,N,No fighting,60,421,774,60886
322,58,N,No fighting,60,661,954,63208
303,72,N,No fighting,55,1621,76526,77932
305,76,N,No fighting,55,1501,81713,82428
323,60,N,No fighting,60,2341,12483,65244
306,78,N,No fighting,55,1501,84138,84607
307,80,N,No fighting,55,1441,86467,86798
309,84,N,No fighting,55,1381,90891,91057
308,82,N,No fighting,55,1441,88747,88951
304,74,N,No fighting,55,1561,79072,80130
324,62,N,No fighting,60,2461,49809,67336
325,64,N,No fighting,60,2461,60741,69604
310,86,N,No fighting,55,1321,93228,93344
326,66,N,No fighting,60,2401,66470,71646
311,88,N,No fighting,55,1321,95294,95355
327,68,N,No fighting,60,1981,70128,73669
312,90,N,No fighting,55,1321,97695,97720
339,40,N,No fighting,65,101,13,43206
340,42,N,No fighting,65,101,23,45605
341,44,N,No fighting,65,101,71,48013
342,46,N,No fighting,65,81,13,50099
343,48,N,No fighting,65,101,73,51845
344,50,N,No fighting,65,101,36,54056
