[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
5,48,N,Uniform,0,51,52,51686
1,40,N,Uniform,0,46,38,43508
7,52,N,Uniform,0,51,60,56648
8,54,N,Uniform,0,61,113,58505
4,46,N,Uniform,0,46,42,49926
12,62,N,Uniform,0,71,185,67416
11,60,N,Uniform,0,81,154,65073
9,56,N,Uniform,0,51,88,61002
2,42,N,Uniform,0,36,46,45509
10,58,N,Uniform,0,56,107,62953
3,44,N,Uniform,0,56,88,47740
6,50,N,Uniform,0,71,139,54318
13,64,N,Uniform,0,121,295,69589
16,70,N,Uniform,0,171,636,75784
14,66,N,Uniform,0,101,277,71702
15,68,N,Uniform,0,121,383,73738
27,40,N,Uniform,5,51,37,43525
28,42,N,Uniform,5,41,31,45258
29,44,N,Uniform,5,41,34,47881
30,46,N,Uniform,5,41,35,50091
32,50,N,Uniform,5,36,35,54203
31,48,N,Uniform,5,46,64,52001
33,52,N,Uniform,5,56,95,56501
34,54,N,Uniform,5,41,67,58512
35,56,N,Uniform,5,56,134,60978
36,58,N,Uniform,5,71,152,62783
37,60,N,Uniform,5,64,136,65210
38,62,N,Uniform,5,76,169,67287
39,64,N,Uniform,5,106,310,69334
41,68,N,Uniform,5,113,328,73885
40,66,N,Uniform,5,120,383,71785
43,72,N,Uniform,5,134,460,78143
42,70,N,Uniform,5,166,632,75669
19,76,N,Uniform,0,1646,79030,82434
18,74,N,Uniform,0,1706,75579,80065
17,72,N,Uniform,0,1686,73747,77971
21,80,N,Uniform,0,1621,83610,86965
20,78,N,Uniform,0,1639,81260,84602
24,86,N,Uniform,0,1616,90265,93297
26,90,N,Uniform,0,1636,94480,97738
22,82,N,Uniform,0,1616,85883,89143
25,88,N,Uniform,0,1631,92158,95392
53,40,N,Uniform,10,36,30,43466
54,42,N,Uniform,10,51,49,45286
55,44,N,Uniform,10,36,42,47641
57,48,N,Uniform,10,31,36,52037
56,46,N,Uniform,10,56,90,49708
58,50,N,Uniform,10,46,66,54242
59,52,N,Uniform,10,46,75,56339
60,54,N,Uniform,10,41,43,58255
61,56,N,Uniform,10,41,58,60512
62,58,N,Uniform,10,57,104,63102
63,60,N,Uniform,10,71,161,65040
64,62,N,Uniform,10,61,121,67109
65,64,N,Uniform,10,99,233,69663
66,66,N,Uniform,10,91,239,71708
67,68,N,Uniform,10,99,332,73843
69,72,N,Uniform,10,86,296,78054
23,84,N,Uniform,0,1621,87898,91032
45,76,N,Uniform,5,1716,77996,82282
68,70,N,Uniform,10,236,1052,75845
44,74,N,Uniform,5,1641,76269,80187
70,74,N,Uniform,10,261,1070,80164
46,78,N,Uniform,5,1631,81225,84700
47,80,N,Uniform,5,1661,83407,86719
49,84,N,Uniform,5,1626,88013,91285
52,90,N,Uniform,5,1626,94363,97665
50,86,N,Uniform,5,1641,89906,93241
