[run number],density,wind-direction,fighting-strategy,wind-velocity,[step],burned-trees,initial-trees
3,44,N,Wind,0,36,37,48016
6,50,N,Wind,0,51,51,54353
5,48,N,Wind,0,56,68,52068
12,62,N,Wind,0,96,327,67283
1,40,N,Wind,0,31,20,43290
2,42,N,Wind,0,41,50,45337
9,56,N,Wind,0,71,115,60882
11,60,N,Wind,0,71,141,65139
7,52,N,Wind,0,76,154,56505
8,54,N,Wind,0,51,64,58643
4,46,N,Wind,0,61,82,50001
13,64,N,Wind,0,71,216,69505
16,70,N,Wind,0,113,301,75930
10,58,N,Wind,0,92,190,63129
14,66,N,Wind,0,111,369,71437
15,68,N,Wind,0,181,498,74051
27,40,N,Wind,5,31,27,43287
28,42,N,Wind,5,36,15,45427
29,44,N,Wind,5,56,60,47659
30,46,N,Wind,5,51,44,49610
18,74,N,Wind,0,201,965,80354
31,48,N,Wind,5,36,36,52218
32,50,N,Wind,5,43,85,54606
34,54,N,Wind,5,51,102,58607
20,78,N,Wind,0,260,1495,84514
35,56,N,Wind,5,46,36,60749
21,80,N,Wind,0,256,1520,86858
17,72,N,Wind,0,155,724,77959
33,52,N,Wind,5,43,72,56457
22,82,N,Wind,0,330,1971,88949
19,76,N,Wind,0,267,1059,82407
39,64,N,Wind,5,76,171,69397
38,62,N,Wind,5,106,230,66998
36,58,N,Wind,5,71,163,63142
24,86,N,Wind,0,393,2569,93300
37,60,N,Wind,5,127,370,65223
41,68,N,Wind,5,148,598,73685
42,70,N,Wind,5,127,512,75957
40,66,N,Wind,5,131,447,71508
25,88,N,Wind,0,414,3407,95465
44,74,N,Wind,5,169,788,80262
53,40,N,Wind,10,41,29,43160
45,76,N,Wind,5,241,956,82437
43,72,N,Wind,5,232,1074,78113
54,42,N,Wind,10,36,23,45964
55,44,N,Wind,10,36,22,47795
46,78,N,Wind,5,309,1834,84518
26,90,N,Wind,0,456,3865,97564
58,50,N,Wind,10,41,58,54199
56,46,N,Wind,10,36,18,49792
59,52,N,Wind,10,56,88,56195
57,48,N,Wind,10,46,61,51913
47,80,N,Wind,5,306,1764,86803
61,56,N,Wind,10,61,92,60849
23,84,N,Wind,0,446,2766,91079
60,54,N,Wind,10,50,88,58691
48,82,N,Wind,5,261,1545,88921
62,58,N,Wind,10,120,284,62815
64,62,N,Wind,10,96,262,67519
63,60,N,Wind,10,111,292,65159
49,84,N,Wind,5,239,1382,91221
65,64,N,Wind,10,81,167,69485
66,66,N,Wind,10,141,467,71662
67,68,N,Wind,10,127,436,73770
52,90,N,Wind,5,421,3413,97505
68,70,N,Wind,10,190,751,76020
50,86,N,Wind,5,414,2918,93411
69,72,N,Wind,10,216,916,78076
72,78,N,Wind,10,225,1206,84627
71,76,N,Wind,10,236,1068,82516
79,40,N,Wind,15,81,20,43449
80,42,N,Wind,15,81,18,45689
81,44,N,Wind,15,81,28,47849
83,48,N,Wind,15,81,31,51937
70,74,N,Wind,10,281,1457,80231
82,46,N,Wind,15,101,45,49864
74,82,N,Wind,10,302,2053,88944
84,50,N,Wind,15,101,77,54471
85,52,N,Wind,15,121,128,56436
75,84,N,Wind,10,316,2134,91127
86,54,N,Wind,15,101,110,58727
87,56,N,Wind,15,101,117,60914
51,88,N,Wind,5,386,2816,95379
88,58,N,Wind,15,121,185,62874
73,80,N,Wind,10,361,2087,86870
89,60,N,Wind,15,141,269,65180
90,62,N,Wind,15,121,217,67165
92,66,N,Wind,15,141,270,71678
76,86,N,Wind,10,414,3223,93332
91,64,N,Wind,15,201,629,69432
94,70,N,Wind,15,201,537,75926
77,88,N,Wind,10,421,3273,95395
78,90,N,Wind,10,414,3452,97676
93,68,N,Wind,15,241,893,73534
105,40,N,Wind,20,81,39,43496
106,42,N,Wind,20,101,49,45706
107,44,N,Wind,20,81,19,47568
108,46,N,Wind,20,101,84,50025
109,48,N,Wind,20,101,51,51977
98,78,N,Wind,15,401,1959,84665
110,50,N,Wind,20,101,62,54121
96,74,N,Wind,15,481,2572,80367
95,72,N,Wind,15,301,1235,78028
97,76,N,Wind,15,401,1744,82259
111,52,N,Wind,20,121,124,56305
113,56,N,Wind,20,101,180,60616
112,54,N,Wind,20,141,213,58828
114,58,N,Wind,20,161,346,62812
116,62,N,Wind,20,121,141,67157
117,64,N,Wind,20,141,174,69426
115,60,N,Wind,20,121,165,64982
99,80,N,Wind,15,521,3935,86682
120,70,N,Wind,20,241,767,76119
118,66,N,Wind,20,241,761,71152
121,72,N,Wind,20,241,794,78092
119,68,N,Wind,20,281,1158,73606
100,82,N,Wind,15,901,6678,88835
102,86,N,Wind,15,861,6757,93373
122,74,N,Wind,20,401,2064,80473
131,40,N,Wind,25,81,20,43348
101,84,N,Wind,15,841,6253,90946
103,88,N,Wind,15,841,5717,95314
132,42,N,Wind,25,81,48,45677
133,44,N,Wind,25,81,30,47940
134,46,N,Wind,25,81,53,49839
135,48,N,Wind,25,101,67,52189
136,50,N,Wind,25,101,59,54139
125,80,N,Wind,20,441,2688,87012
137,52,N,Wind,25,101,76,56504
138,54,N,Wind,25,121,156,58302
124,78,N,Wind,20,521,2862,84550
139,56,N,Wind,25,101,155,60974
140,58,N,Wind,25,121,162,62855
